,adresse_code_insee,adresse_code_postal,adresse_distribution,adresse_gestion_acheminement,adresse_gestion_code_postal,adresse_gestion_distribution,adresse_gestion_format_postal,adresse_gestion_geo,adresse_gestion_libelle_voie,adresse_gestion_nom,adresse_gestion_pays,adresse_libelle_commune,adresse_libelle_voie,adresse_numero_voie,adresse_repetition,adresse_siege,adresse_type_voie,autorisation_publication_web,code_gestion,created_at,date_creation,date_declaration_dissolution,date_derniere_declaration,date_publication_creation,derniere_maj,dirigeant_civilite,email,groupement,id,id_association,id_ex_association,is_waldec,l1_adresse_import,l2_adresse_import,l3_adresse_import,nature,numero_reconnaissance_utilite_publique,objet,objet_social1,objet_social2,observation,position_activite,siret,site_web,source,telephone,titre,titre_court,updated_at
0,75111,75011,_,PARIS 11,75011,,,,46 rue de Montreuil,,FRANCE,Paris,de Montreuil,46,,,RUE,0,751P,2018-09-23T09:50:35.000Z,1977-04-06,,2017-05-10,1977-04-23,2017-11-29 12:38:24,MS,,S,286752,W751043584,43584,true,,,,D,,documentation concernant les immigrations en France,016030,000000,,A,,,CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES - CIEMI,,CIEMI CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES,CIEMI CENTRE D'INFORMATION ET D'E...,2018-09-23T09:50:35.000Z
1,75111,75011,,,,,,,,,,PARIS,,,,,,,751P,2018-09-23T09:58:07.000Z,1977-04-06,,,1977-04-23,2013-12-23 12:20:04,PM,,S,1935835,751P00043584,00043584,false,,46        RUE de Montreuil,,D,,documentation concernant les immigrations en france,016030,000000,W751043584,R,,,CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES - CIEMI,0143724934,CIEMI CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES,,2018-09-23T09:58:07.000Z
2,75111,75011,_,PARIS 11,75011,,,,46 rue de Montreuil,,FRANCE,Paris,de Montreuil,46,,,RUE,0,751P,2018-10-01T16:12:48.000Z,1977-04-06,,2017-05-10,1977-04-23,2017-11-29 12:38:24,MS,,S,3135418,W751043584,43584,true,,,,D,,documentation concernant les immigrations en France,016030,000000,,A,,,CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES - CIEMI,,CIEMI CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES,CIEMI CENTRE D'INFORMATION ET D'E...,2018-10-01T16:12:48.000Z
3,75111,75011,,,,,,,,,,PARIS,,,,,,,751P,2018-10-01T16:20:45.000Z,1977-04-06,,,1977-04-23,2013-12-23 12:20:04,PM,,S,4790245,751P00043584,00043584,false,,46        RUE de Montreuil,,D,,documentation concernant les immigrations en france,016030,000000,W751043584,R,,,CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES - CIEMI,0143724934,CIEMI CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES,,2018-10-01T16:20:45.000Z
4,75116,75016,_,PARIS,75016,,,,29  RUE MICHEL ANGE,,FRANCE,Paris,Michel Ange,29,,,RUE,0,751P,2018-09-23T09:50:16.000Z,1973-02-21,,2016-03-14,1901-07-01,2016-09-13 20:00:03,PM,,S,199714,W751033632,33632,true,,,,D,,"animer des groupes d'enfants, d'adolescents et de jeunes en vue de les aider à développer toutes leurs qualités et à devenir libres, responsables et à s'engager la où ils vivent ; mettre en oeuvre une pédagogie axée notamment sur des activités culturelles, sportives, de plein air, de vacances etc, et sur toute leur viedans un esprit évangélique",040000,000000,,A,,,ASSOCIATION NATIONALE DU MOUVEMENT EUCHARISTIQUE DES JEUNES - MEJ,,ASSOCIATION NATIONALE DU MOUVEMENT EUCHARISTIQUE DES JEUNES MEJ,MEJ,2018-09-23T09:50:16.000Z
5,75116,75016,_,PARIS,75016,,,,29  RUE MICHEL ANGE,,FRANCE,Paris,Michel Ange,29,,,RUE,0,751P,2018-10-01T16:12:26.000Z,1973-02-21,,2016-03-14,1901-07-01,2016-09-13 20:00:03,PM,,S,3048312,W751033632,33632,true,,,,D,,"animer des groupes d'enfants, d'adolescents et de jeunes en vue de les aider à développer toutes leurs qualités et à devenir libres, responsables et à s'engager la où ils vivent ; mettre en oeuvre une pédagogie axée notamment sur des activités culturelles, sportives, de plein air, de vacances etc, et sur toute leur viedans un esprit évangélique",040000,000000,,A,,,ASSOCIATION NATIONALE DU MOUVEMENT EUCHARISTIQUE DES JEUNES - MEJ,,ASSOCIATION NATIONALE DU MOUVEMENT EUCHARISTIQUE DES JEUNES MEJ,MEJ,2018-10-01T16:12:26.000Z
6,75105,75005,,,,,,,,,,PARIS,,,,,,,751P,2018-09-23T09:58:10.000Z,1975-02-04,,,1975-02-20,2009-05-25 05:00:00,PM,,S,1951880,751P00037172,00037172,false,,12        RUE Buffon,,D,,promouvoir l'étude des cryptogames et faciliter la diffusion des connaissances dans ce domaine,007000,000000,,A,,,ASSOCIATION DES AMIS DES CRYPTOGAMES (ADAC),0140793187,ASSOCIATION DES AMIS DES CRYPTOGAMES ADAC,,2018-09-23T09:58:10.000Z
7,75105,75005,,,,,,,,,,PARIS,,,,,,,751P,2018-10-01T16:20:48.000Z,1975-02-04,,,1975-02-20,2009-05-25 05:00:00,PM,,S,4806261,751P00037172,00037172,false,,12        RUE Buffon,,D,,promouvoir l'étude des cryptogames et faciliter la diffusion des connaissances dans ce domaine,007000,000000,,A,,,ASSOCIATION DES AMIS DES CRYPTOGAMES (ADAC),0140793187,ASSOCIATION DES AMIS DES CRYPTOGAMES ADAC,,2018-10-01T16:20:48.000Z
8,22278,22000,_,ST BRIEUC,22000,,,,10 RUE JEAN MéTAIRIE,,FRANCE,Saint-Brieuc,Mathurin Méheut,81,,,RUE,0,224P,2018-09-23T09:56:18.000Z,1925-04-29,,2017-08-25,1925-05-16,2018-02-23 20:00:03,PM,,S,1554900,W224004680,0224000101,true,,,,D,,"subvenir aux frais et à l'entretien du culte catholique sous l'autorité de l'évêque en communion avec le saint-siège,et conformément à la constitution de l'église catholique",040000,000000,Reprise  =>  date ag=0000-00-00 reprise auto => date publication création au JO à vérifier,A,77745992600013,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,ASSOCIATION DIOCESAINE DE SAINT-BRI...,2018-09-23T09:56:18.000Z
9,22278,22000,,,,,,,,,,SAINT-BRIEUC,,,,,,,224P,2018-09-23T10:00:45.000Z,0001-01-01,,,1925-05-16,2014-12-23 12:45:53,PM,,S,2724977,224P0224000101,0224000101,false,"10, rue Jean Métairie",,,D,,"Subvenir aux frais et a l'entretien du culte catholique sous l'autorite de l'eveque en communion avec le saint-siege,et conformement a la constitution de l'eglise catholique.",040000,000000,W224004680,R,,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,,2018-09-23T10:00:45.000Z
