,Editeur,titres
1467,Elsevier Masson,115
2483,LE JOURNAL PAROISSIAL,93
2685,LEXISNEXIS,90
688,BAYARD SERVICE EDITION,79
1311,EDITIONS LEGISLATIVES,68
3251,PUBLIHEBDOS,62
686,BAYARD PRESSE,44
1227,EDITIONS DALLOZ,42
4666,WOLTERS KLUWER FRANCE,42
1308,EDITIONS LARIVIERE,33
3035,ORACOM,31
3217,PRISMA MEDIA,31
2832,MILAN PRESSE,31
1124,DIVERTI EDITIONS,29
3832,SOCIETE DES EDITIONS FRANCIS LEFEBVRE,27
2856,MONDADORI MAGAZINES FRANCE,25
1761,FLEURUS PRESSE,23
1176,EDIMARK,22
1957,GROUPE MONITEUR,21
2687,LEXTENSO EDITIONS,21
1343,EDITIONS RIVA,20
141,ALPES 74,19
1388,ELSEVIER MASSON,17
1346,EDITIONS SORMAN,16
53,A.T.C. AGRI TERROIR COMMUNICATION,15
676,BAUER MEDIA GROUP,14
721,BMJ PUBLISHING GROUP LTD,14
2451,LAVOISIER,14
2960,NIVEALES MEDIAS,13
2779,MARTIN MEDIA,12
1985,HACHETTE FILIPACCHI ASSOCIES,12
2883,MOVE PUBLISHING,12
3384,SE UNSA,12
1281,EDITIONS FATON,12
4231,TERRITORIAL,11
2857,MONDADORI MAGAZINES France,11
812,CENTRE FRANCE HEBDOS,11
35,2B2M,10
1264,EDITIONS DU PAPYRUS,10
3927,SOCIETE NOUVELLE NORD LITTORAL,10
739,BTP RETRAITE,9
1197,EDITIONS 21,9
1313,EDITIONS LVA,9
3316,RIVA CORPORATE,9
2767,MANCHE ATLANTIQUE PRESSE,9
98,ADVENTISS,9
3299,REUSSIR,9
1185,EDITIALIS,9
3853,SOCIETE DU FIGARO,9
2361,L'OBSERVATEUR,9
4312,TURF EDITIONS,9
1353,EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET L'INDUSTRIE (ETAI),8
1122,DISNEY HACHETTE PRESSE,8
3954,SOPHIA HISTOIRE & COLLECTIONS,7
1203,EDITIONS ARC EN CIEL,7
2824,MFTL,7
1950,GROUPE INDUSTRIE SERVICES INFO,7
1259,EDITIONS DU BOISBAUDRY,7
2954,NICKEL MEDIA,7
2248,JOHN LIBBEY EUROTEXT LTD,7
3909,SOCIETE NORMANDE D'INFORMATION ET DE COMMUNICATION - SNIC,7
3914,SOCIETE NOUVELLE COURRIER Français,7
2289,KEY PUBLISHING LTD,7
2534,LEROSA,7
1195,EDITION MIOT,7
2011,HEALTH INITIATIVE,7
1303,EDITIONS JIBENA & CIE,7
2030,HEINRICH BAUER VERLAG KG,7
2162,INITIATIVES SANTE,7
3734,SOCIETE D'EDITION DE LA PRESSE REGIONALE - SEPR,7
719,BMJ PUBLISHING GROUP,7
1935,GROUPE ALTICE MEDIA,6
670,BAUER CONSUMER MEDIA LTD,6
4282,TIME INC LTD,6
683,BAUVERLAG BV GMBH,6
4379,UNI-MEDIAS,6
2321,L'ALMANACH DE VOS VACANCES,6
1371,EDP SCIENCES,6
1945,GROUPE FRANCE AGRICOLE,6
638,AXEL SPRINGER SE,6
3964,SOTECA,6
3149,PERFORMANCES MEDICALES,6
2728,LR PRESSE,6
898,CIMAX,6
3166,PLAY BAC PRESSE,6
615,AU COEUR DES VILLES,6
136,ALL CONTENTS PRESSE,6
1962,GROUPE REVUE FIDUCIAIRE,6
219,AREION GROUP,5
3222,PROMOTION PRESSE INTERNATIONALE,5
3290,REGI'ARM,5
3690,SO PRESS,5
2653,LES ETUDES HOSPITALIERES,5
1915,GLOBAL MEDIA SANTE,5
2739,M MEDIAS,5
2601,LES EDITIONS DE MONTREUIL,5
1129,DOMUS S.P.A,5
3128,PARTICULIER ET FINANCES EDITIONS,5
2406,LA MONTAGNE,5
3239,PUBLICATIONS AGORA FRANCE,5
3315,RIGEL EDITIONS,5
690,BAYARD SERVICE EDITION (BSE),5
3257,PYC EDITION,5
3319,RMP,5
1046,CREPIN LEBLOND,5
210,ARC EN CIEL,5
2585,LES EDITIONS DE BIONNAY,5
2115,IMPRIMERIE DU MESSAGER,5
522,ASSOCIATION MEDICALE INTERNATIONALE DE NOTRE-DAME DE LOURDES,5
1276,EDITIONS ESKA,5
443,ASSOCIATION DIOCESAINE DE SAINT-FLOUR,5
659,BALISIER PRODUCTIONS,5
2153,INFOMER,5
3540,SNES,5
1462,EXPRESSIONS SANTE,5
2797,MEDIA ET NATURE ACTIVE,5
4368,UKIP MEDIA & EVENTS LTD,5
4311,TURBULENCES PRESSE,5
3403,SE-UNSA,5
3369,SCOOP COMMUNICATION,4
3233,PUBLI NEWS,4
3530,SNEP FSU,4
802,CENTRE D'INFORMATION ET D'ETUDES SUR LES MIGRATIONS INTERNATIONALES - CIEMI,4
4203,TAMEDIA PUBLICATIONS ROMANDES,4
3983,SPOTLIGHT VERLAG GMBH,4
3046,OUTDOOR EDITIONS,4
772,CARAKTERE,4
3247,PUBLICATIONS PERIODIQUES DE L'IMPRIMERIE PAUL DUPONT,4
2710,LINK MEDIA GROUP,4
744,BURDA SENATOR VERLAG GMBH,4
2247,JOHN LIBBEY EUROTEXT LIMITED,4
2471,LE DAUPHINE LIBERE,4
2684,LEXIS NEXIS,4
2068,HUMENSIS (marque PUF),4
3956,SOPHIA PUBLICATIONS,4
3863,SOCIETE EDITRICE DU MONDE,4
1754,FILLMORE PRESS,4
1401,ENTRAID',4
3886,"SOCIETE GENERALE DE PRESSE, DE DOCUMENTATION, D'EDITIONS ET DE COMMUNICATION",4
1356,EDITIONS TERRE MARS,4
2077,IC PUBLICATIONS,4
3899,SOCIETE MAUBEUGEOISE D'EDITION ET CIE,4
4300,TP MEDIA,4
249,ASH PUBLICATIONS,4
976,CONDE NAST PUBLICATIONS,4
2637,LES EDITIONS LA VIE DU RAIL,4
2635,LES EDITIONS JALOU,4
2674,LES PUBLICATIONS CONDE NAST,4
1427,ETAI,4
1336,EDITIONS POLE,4
191,ANIMALIA EDITIONS,4
2019,HEARST MAGAZINES,4
2376,LA BROSSE EDITIONS,4
552,ASSOCIATION NATIONALE DU MOUVEMENT EUCHARISTIQUE DES JEUNES - MEJ,4
2760,MALESHERBES PUBLICATIONS,4
705,BGO,4
3371,SCOUTS ET GUIDES DE FRANCE,4
3868,SOCIETE FRANCAISE D'EDITION ET DE PRESSE,4
2424,LA REVUE BANQUE,4
2205,IPC MEDIA LTD,4
1137,DUNOD,4
1248,EDITIONS DE TOURNON,4
1256,EDITIONS DIPA BURDA,4
1261,EDITIONS DU CERNY,4
1573,FEDERATION DES PERSONNELS DES SERVICES PUBLICS ET DES SERVICES DE SANTE FORCE OUVRIERE,4
2773,MARIE CLAIRE ALBUM,4
1282,EDITIONS FITAMANT,4
3869,SOCIETE FRANCAISE D'EDITION ET DE PRESSE (SFEP),4
4638,VICTOIRES EDITIONS,4
3010,OFF ROADS,4
1089,DIAMOND EDITIONS,4
1296,EDITIONS HUBERT BURDA MEDIA,4
1293,EDITIONS HEIMDAL,4
151,AM MEDIA NETWORK,4
346,ASSOCIATION DES AMIS DES CRYPTOGAMES (ADAC),3
430,ASSOCIATION DIOCESAINE DE RODEZ,3
250,ASPERMONT MEDIA,3
2202,IPC INSPIRE,3
4086,SYNDICAT DES ENSEIGNANTS UNSA,3
2204,IPC MEDIA,3
1924,GOLIAS,3
877,CHARLES PHILIPPE PRESSE,3
3018,OISE PUBLICATIONS - OP,3
675,BAUER MEDIA France,3
1763,FLYING PAGES EUROPE,3
4277,TIBESTI,3
3871,SOCIETE FRANCAISE D'EDITION ET DE PRESSE - SFEP,3
666,BAUER CONSUMER MEDIA,3
4299,TOURISME ET TRANSPORT DE VOYAGEURS,3
2304,KOMAKINO PUBLISHING,3
4088,SYNDICAT DES ENSEIGNANTS-UNSA,3
674,BAUER MEDIA,3
2084,ID PRESSE,3
440,ASSOCIATION DIOCESAINE DE SAINT-BRIEUC ET TREGUIER,3
2842,MISSION THERESIENNE,3
1756,FINANCIERE DE LOISIRS,3
2823,METROPOLE PUBLISHING,3
2246,JOHN LIBBEY EUROTEXT,3
2709,LINK DIGITAL SPIRIT,3
2861,MONTAIGNE PUBLICATIONS,3
3033,OPTION FINANCE,3
2677,LES PUBLICATIONS GRAND PUBLIC (PGP),3
3001,OBSERV'ER,3
716,BLUE RIDE,3
770,CAPITALE PUBLISHING,3
4378,UNI-EDITIONS,3
2047,HISTOIRE MILITAIRE EDITIONS,3
1975,GRUNER + JAHR AG & CO KG,3
2937,NEPTUNE DIFFUSION,3
788,CEMEA,3
2270,JURISTES D'AFFAIRES ET DECIDEURS,3
1966,GROUPE SPORT.FR,3
1909,GIE CFDT PRESSE,3
698,BE CONTENTS,3
3972,SPC EDITIONS,3
2951,NG PRESSE,3
1959,GROUPE PROGRES,3
634,AXEL SPRINGER,3
2867,MOTOR PRESSE STUTTGART GMBH & CO,3
4027,SUPPLY CHAIN MAGAZINE / SC MEDIA,3
2250,JOHN LIBBEY EUROTEXT ltd,3
3955,SOPHIA HISTOIRE ET COLLECTIONS,3
2026,HEINRICH BAUER  VERLAG KG,3
692,BAYARD SERVICE EDITION GRAND SUD-OUEST,3
2809,MEDIALYD,3
2165,INNOVAPRESSE & COMMUNICATIONS,3
2499,LE PARISIEN LIBERE,3
1188,EDITION CONDE NAST S.P.A.,3
2358,L'INFORMATION DENTAIRE,3
2441,LA VOIX DU NORD,3
3579,SNU IPP,3
2431,LA TRIBUNE,3
1245,EDITIONS DE SANTE,3
1240,EDITIONS DE LA ROSACE,3
1215,EDITIONS CANY,3
3366,SCIENCES HUMAINES COMMUNICATION,3
1192,EDITION DIFFUSION PRESSE SANTE - EDP SANTE,3
3674,SNUIPP FSU,3
2596,LES EDITIONS DE LA RHF,3
2598,LES EDITIONS DE LA SALAMANDRE,3
147,ALTERNATIVES ECONOMIQUES,3
1094,DILIGENCE PRESSE COMMUNICATION,3
1078,DENNIS PUBLISHING LTD,3
1071,DBD,3
1069,DARK SIDE MEDIA,3
3268,QUINTESSENCE INTERNATIONAL,3
3258,PYC EDITION PUBLICATION YVES COLOMBOT,3
3250,PUBLIERA PUBLISHERS BV,3
1038,COUDEYRE PRESSE LOISIR,3
1037,COTE MAISON,3
4623,VERLAG W. SACHON GMBH + CO,3
3568,SNI EDITIONS,3
4627,VERON ET COMPAGNIE,3
1327,EDITIONS MONDADORI AXEL SPRINGER - EMAS,3
1379,EHPA PRESSE,3
2491,LE MONDE DIPLOMATIQUE,3
1403,ENTREFILET,3
4676,YSEC EDITIONS,3
4668,WORLD MARKET INTELLIGENCE,3
3528,SNEP,3
4662,WILD PUBLISHING,3
4658,WAZ WOMEN GROUP GMBH,3
40,6 PACK PUBLISHING,3
1325,EDITIONS MONDADORI AXEL SPRINGER,3
4630,VERSICOLOR EDITIONS,3
1432,EURO SERVICES INTERNET,3
1316,EDITIONS MARIGNY,3
3444,SEJER,3
1312,EDITIONS LLB,3
2537,LES AFFICHES DE GRENOBLE ET DU DAUPHINE,3
1309,EDITIONS LE BAKH,3
4644,VISTEDIT,3
1289,EDITIONS GALLIMARD,3
1456,EXCEPTO,3
3237,PUBLIC MEDIA,3
4280,TIME INC,3
981,CONDE NAST VERLAG GMBH,3
3211,PRESSES DE SCIENCES PO,3
3848,SOCIETE DES PERIODIQUES DE L'OUEST,3
2348,L'EQUIPE,3
2351,L'EST ECLAIR,3
3215,PRESSMAKER,3
975,CONDE NAST,3
2625,LES EDITIONS DU PHARE,3
2349,L'ESSOR,3
222,ARMADA CONCEPT,3
3158,PHOENIX PUBLICATIONS UNITED,3
2037,HERO & CO,2
962,COMMUNICATION ET CITE,2
3175,POLE ELECTRO,2
2888,MRJ INFORMATIQUE,2
2013,HEARST COMMUNICATIONS INC.,2
2014,"HEARST COMMUNICATIONS, INC",2
4173,"SYNDICAT NATIONAL UNIFIE DES DIRECTEURS, INSTITUTEURS ET PROFESSEURS DES ECOLES DE L'ENSEIGNEMENT PUBLIC FORCE OUVRIERE (SNUDI-FO)",2
3182,POUR LA SCIENCE,2
2031,HEINRICH BAUER ZEITSCHRIFTEN VERLAG KG,2
2033,HELIOS INTERNATIONAL,2
2022,HEARST MAGAZINES UK,2
890,CHRETIENS DANS LE MONDE RURAL,2
3124,PARTI RADICAL DE GAUCHE,2
3828,SOCIETE DES EDITIONS DE PRESSE AFFICHES PARISIENNES,2
1321,EDITIONS METAWALK,2
1714,FEDERATION SYNDICALE UNITAIRE,2
2020,HEARST MAGAZINES INTERNATIONAL,2
2009,HEALTH & CO,2
4163,SYNDICAT NATIONAL FORCE OUVRIERE DES LYCEES ET COLLEGES,2
3561,SNES-FSU,2
1960,GROUPE PSYCHOLOGIES,2
1274,EDITIONS ENTREFILET,2
1275,EDITIONS ERES,2
1963,GROUPE SLR EDITIONS & DESIGN,2
977,CONDE NAST PUBLICATIONS INC,2
624,AUTOMOTIVE MEDIA,2
1965,GROUPE SOS JEUNESSE,2
4118,SYNDICAT NATIONAL DE L'EDUCATION PHYSIQUE DE L'ENSEIGNEMENT PUBLIC (SNEP),2
610,ATELIERS D'ART DE FRANCE EDITIONS,2
3187,PREMIERE MEDIA,2
1286,EDITIONS FRANCIS LEFEBVRE,2
875,CHAMPS SOCIAL EDITIONS,2
972,COMPAGNIE MEDITERRANEENNE DE PRESSE ET DE COMMUNICATION - CMPC,2
1981,GUANG HUA MEDIA,2
4134,SYNDICAT NATIONAL DES COLLEGES ET DES LYCEES,2
2936,NEFER-IT,2
1307,EDITIONS LA VIE DU RAIL,2
2004,HAYMARKET MEDIA GROUP,2
2045,HISTOIRE ET COLLECTIONS,2
803,CENTRE D'INFORMATION ET DE DOCUMENTATION JEUNESSE (CIDJ),2
3855,SOCIETE DU JOURNAL DE L'UNION,2
1365,EDITORIALE DOMUS SPA,2
3472,SERVICE TOURAINE RONDEAU,2
2085,IDEAT EDITIONS,2
4246,THE CONDE NAST PUBLICATIONS LTD,2
2094,"IHS JANE'S , IHS GLOBAL LTD",2
1404,ENTREPRENDRE,2
3146,PEDAGOFICHE,2
4262,THE SHEPHARD PRESS LTD,2
3155,PGV MAISON,2
2106,IMMEDIATE MEDIA COMPANY BRISTOL LIMITED,2
2109,IMPACT MEDICOM,2
2833,MILK,2
3475,SESIMS,2
3496,SIFIJA,2
4273,THOMSON REUTERS FRANCE,2
2829,MIEUX VOIR,2
1383,ELECTRE,2
1385,ELIDIA,2
2082,ID EDITIONS,2
3505,SKOL AN EMSAV,2
2885,MP MEDIAS,2
4237,TG PRESS,2
1330,EDITIONS NEPTUNE DIFFUSION,2
873,CHAMPAGNE EDITIONS,2
1332,EDITIONS NUIT ET JOUR,2
2876,MOUVEMENT CHRETIEN DES RETRAITES,2
4215,TECHNIQUES PRO MEDIA (TPMA),2
2065,HUMENSIS,2
2868,MOTOR PRESSE STUTTGART GMBH & CO.KG,2
3138,PAYSAN DU MIDI,2
3527,SNEEP,2
2863,MORTONS MEDIA GROUP,2
3139,PBC EDITIONS,2
1425,EST BOURGOGNE MEDIA,2
1422,ESPRIT YOGA EDITIONS,2
1344,EDITIONS SEDRAP,2
3520,SNE 1633,2
