BOR;AN;FI;RS;FI_EJ;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_A10;BLOCS_B10;BLOCS_C10;BLOCS_D10;BLOCS_E10;BLOCS_A11;BLOCS_B11;BLOCS_C11;BLOCS_D11;BLOCS_E11;BLOCS_A12;BLOCS_B12;BLOCS_C12;BLOCS_D12;BLOCS_E12;BLOCS_A13;BLOCS_B13;BLOCS_C13;BLOCS_D13;BLOCS_E13;BLOCS_A14;BLOCS_B14;BLOCS_C14;BLOCS_D14;BLOCS_E14;BLOCS_A15;BLOCS_B15;BLOCS_C15;BLOCS_D15;BLOCS_E15
BLOCS;2021;010000024;CH DE FLEYRIAT;010780054;2;9;;2;2;1;;0;;0;;12;2;;2;1;;19;4;;4182;3803;7985;6525;;769;230;999;701;;88;24;112;9;;251;55;306;253;;2384;2726;5110;3214;;12;61;73;10;
BLOCS;2021;010000032;CH BUGEY SUD;010780062;1;2;2;1;1;0;0;1;0;0;0;4;3;;1;;;6;6;;976;1005;1981;1619;1533;227;31;258;110;0;0;0;0;0;0;0;0;0;0;0;451;870;1321;835;3750;0;7;7;2;52
BLOCS;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;3;1;1;1;0;0;2;0;1;0;7;2;;1;;;8;;;1156;1474;2630;2079;;448;44;492;175;;17;0;17;0;;12;1;13;12;;345;1042;1387;780;;0;0;0;0;
BLOCS;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;;;;;;;1;;;;1;;1;;;1;;;5;0;1658;1658;1260;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;1164;1164;720;;0;0;0;0;
BLOCS;2021;010780195;CLINIQUE CONVERT;010000156;1;6;0;0;0;2;1;2;0;0;0;10;1;0;1;0;0;18;0;0;4079;6149;10228;9081;;3;0;3;3;;1229;311;1540;89;;98;158;256;125;;1110;4248;5358;3229;;7;106;113;69;
BLOCS;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;4;1;1;1;0;0;1;1;0;0;6;3;;1;1;;8;2;;2556;4364;6920;5929;;228;25;253;216;;1;0;1;0;;30;120;150;63;;820;3064;3884;2102;;2;15;17;9;
BLOCS;2021;020000162;CH SAINT-QUENTIN;020000063;2;12;0;1;1;1;1;4;1;0;0;18;3;0;1;1;0;25;25;0;5016;6292;11308;9742;;1137;154;1291;488;;1518;12;1530;1174;;243;414;657;368;;3880;4164;8044;4119;;6;57;63;39;
BLOCS;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;1;3;;;;;;1;;1;;5;;;1;;;6;;;1108;3801;4909;4333;;0;0;0;0;;0;0;0;0;;0;0;0;0;;248;1751;1999;1421;;0;64;64;64;
BLOCS;2021;020000394;CH LAON;020000253;1;4;1;1;0;0;0;1;0;0;0;6;1;0;1;1;0;9;9;0;1956;1551;3507;2473;;438;56;494;277;;53;0;53;3;;1;3;4;2;;1671;720;2391;1589;;3;3;6;0;
BLOCS;2021;020000519;CH SOISSONS;020000261;3;5;1;1;1;1;1;1;;;;8;3;0;1;;;9;;;2482;1747;4229;3196;5184;653;37;690;226;8;668;1;669;0;1;41;2;43;0;0;1121;1124;2245;1058;1862;1;23;24;0;1738
