BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;M100H;;10;2.13;0;0
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;M1030;;17;8.61;1;0
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;M200H;;35;9.7;0;1
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;N2200;11;2;7.39;;
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;N2310;18;11;25.8;;
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;N2320;18;10;22.49;;
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;N2510;15;3;14.52;;
BLOCS_P;2021;010000024;CH DE FLEYRIAT;010780054;NAUT;2;1;2.85;;
BLOCS_P;2021;010000032;CH BUGEY SUD;010780062;M200H;8;;6.73;;
BLOCS_P;2021;010000032;CH BUGEY SUD;010780062;N2200;5;2;7.69;;
BLOCS_P;2021;010000032;CH BUGEY SUD;010780062;N2310;3;2;4.97;;
BLOCS_P;2021;010000032;CH BUGEY SUD;010780062;N2320;1;;1.37;;
BLOCS_P;2021;010000032;CH BUGEY SUD;010780062;N2510;3;;2.97;;
BLOCS_P;2021;010000032;CH BUGEY SUD;010780062;NAUT;4;1;4.41;;
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;1;4;5.19;1;0
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M200H;6;2;2.99;0;1
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2200;7;3;9.12;;
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2310;5;3;5.95;;
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2320;4;0;3.26;;
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2510;0;0;0.04;;
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4160;0;0;0.25;;
BLOCS_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;5;0;2.5;;
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M100H;;3;0.56;0;0
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;;4;0.64;0;0
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M200H;;9;0.58;0;0
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2200;;4;2.99;0;0
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2310;;4;0.7;0;0
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2510;;1;0.65;0;0
BLOCS_P;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N4160;1;;1.13;0;0
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;M100H;40;;40;;
BLOCS_P;2021;010780195;CLINIQUE CONVERT;010000156;M1030;12;;11.5;;
