BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;M1030;2;1;3.3;1;1
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2120;1;;1;;
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2200;36;3;39.42;;
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2300;3;;3.16;;
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2500;24;1;27.51;;
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;N2710;;1;0.3;;
BRULES_P;2021;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;NAUT;10;;9.35;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;MAUT;1;4;0.97;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2200;7;;6.67;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2300;6;1;6.81;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2410;;2;0.5;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2500;8;4;10.71;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;N2710;1;;0.63;;
BRULES_P;2021;310016977;HOPITAUX MERE & ENFANTS SITE VIGUIER;310781406;NAUT;;2;0.45;;
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;M1030;1;1;0.63;0;0
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;M2040;;1;0.1;0;0
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2120;1;;0.85;;
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2200;19;;18.05;;
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2410;;2;1;;
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2500;13;;12.73;;
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;N2710;;;0.23;;
BRULES_P;2021;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;NAUT;;2;0.4;;
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M1030;;;1.35;1;1
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;M2040;;;0.97;;1
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2120;1;0;1;;
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2200;22;34;39.21;;
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2300;0;1;0.8;;
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2500;24;21;35.11;;
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;N2710;0;2;0.43;;
BRULES_P;2021;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;NAUT;1;6;3.93;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M1030;;3;0.9;1;1
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M1180;;1;0.1;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;M2040;;3;0.74;0;1
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;MAUT;;5;1.52;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2120;1;;1;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2200;9;2;9.43;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2500;9;1;9.49;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;N2710;;1;0.1;;
BRULES_P;2021;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;NAUT;1;2;0.8;;
BRULES_P;2021;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;M1030;1;;1;1;
BRULES_P;2021;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;M2040;1;;1;;
BRULES_P;2021;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;N2200;24;10;30.01;;
BRULES_P;2021;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;N2500;10;9;15.54;;
BRULES_P;2021;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;NAUT;3;3;4.94;;
BRULES_P;2021;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;M1030;2;1;1.59;0;0
BRULES_P;2021;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;M2040;1;6;2.72;0;1
BRULES_P;2021;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;MAUT;2;1;1.8;;
BRULES_P;2021;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2120;0;2;0.53;;
BRULES_P;2021;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;N2200;8;27;27.11;;
