BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2021;010000024;CH DE FLEYRIAT;010780054;1;1;1;28066;186;27029;7494;1289;1;;;;8997;186;302;8449;960;45;1;0;2;0;;900;17279;94;0;0;956;0;0;2;2;4;;;1;2;8;2;3;2.61;3.8;12.07;0.4;2.1;14;24;;;561;9759;0;0;0;0;0;0;4441;0;0;0;3;;2;4;4.4;0.63;14;4;;;3;10;6;1;;5;19.39;9.22;0.29;;4.27
CANCERO;2021;010000032;CH BUGEY SUD;010780062;1;0;0;934;0;841;676;0;0;730000015;;;827;0;21;780;107;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;200;0;174;288;0;0;010780054;;;128;0;0;128;8;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;0;14;0;0;610;1;;;;0;13;0;0;0;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;010780195;CLINIQUE CONVERT;010000156;1;0;1;3827;0;3454;2534;0;1;;;;3269;0;3;3223;370;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;0;3574;0;0;0;1;0;0;0;0;0;0;;;;;;;2;0;0;0;0;0;0;2;1;1;2.15;0;1;0.61;0.14
CANCERO;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;1;0;0;177;0;65;629;0;0;690023411;;;9;0;0;9;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;020000162;CH SAINT-QUENTIN;020000063;1;1;1;27129;0;26271;9427;0;1;;;;9738;0;241;9197;946;0;5;0;3;0;;852;15722;195;0;0;811;0;0;2;3;14;0;2;1;1;0;0;1;3.8;3.5;13.7;0;2.78;21;30;;;701;11265;0;0;0;1;0;0;7694;0;0;0;4;3;2;;4.7;3;22;10;2;0;6;5;5;0;1;3;25.51;14.02;2;0.3;6.8
CANCERO;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;0;0;258;0;152;345;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2021;020000394;CH LAON;020000253;1;0;1;694;0;524;1726;0;1;;;;522;0;0;509;72;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;31;11;;;0;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0.94;0;0;0;1
CANCERO;2021;020000519;CH SOISSONS;020000261;1;1;1;9744;0;9513;1641;0;1;;;;3267;0;4;3235;342;0;0;0;1;1;;321;5910;22;0;0;281;0;0;1;;3;;;1;;1;;1;1.2;;3.1;;0.21;8;14;;;510;3168;0;0;0;0;0;0;2494;0;0;0;3;1;;1;3;1.6;11;7;;;6;3;;1;;2;12.46;7.02;0.05;;6.53
