BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2021;010000024;CH DE FLEYRIAT;010780054;M1040;;2;0.4;0;0
CHIRCAR_P;2021;010000024;CH DE FLEYRIAT;010780054;N2510;;1;0.58;;
CHIRCAR_P;2021;010000024;CH DE FLEYRIAT;010780054;N4130;1;1;1.16;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;M103X;10;3;10.5;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;M1040;3;;3;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;N2120;1;0;1;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;N2200;9;0;5.99;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;N2320;1;0;1;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;N2510;3;0;3;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;N4130;1;0;1.09;;
CHIRCAR_P;2021;010780195;CLINIQUE CONVERT;010000156;NAUT;1;0;1;;
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;M103X;1;;1;0;0
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1040;4;;4;0;1
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2120;1;0;0.2;;
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2200;5;5;2.9;;
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2310;17;10;1.4;;
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;N4130;3;1;1.9;;
CHIRCAR_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;1;0;0.3;;
CHIRCAR_P;2021;020000519;CH SOISSONS;020000261;M1040;1;;1;;
CHIRCAR_P;2021;020000519;CH SOISSONS;020000261;M104H;1;;1;;
CHIRCAR_P;2021;020000519;CH SOISSONS;020000261;N2120;;;0.76;;
CHIRCAR_P;2021;020000519;CH SOISSONS;020000261;N2200;8;7;11.21;;
CHIRCAR_P;2021;020000519;CH SOISSONS;020000261;N2510;9;5;10.03;;
CHIRCAR_P;2021;020000519;CH SOISSONS;020000261;NAUT;6;3;7.05;;
CHIRCAR_P;2021;030000061;CH DE MOULINS;030780092;M1040;1;6;4.23;0;1
CHIRCAR_P;2021;030000061;CH DE MOULINS;030780092;N2120;0;1;0.51;;
CHIRCAR_P;2021;030000061;CH DE MOULINS;030780092;N2200;10;1;11.65;;
CHIRCAR_P;2021;030000061;CH DE MOULINS;030780092;N2510;9;2;9.21;;
CHIRCAR_P;2021;030000061;CH DE MOULINS;030780092;NAUT;3;1;3.73;;
CHIRCAR_P;2021;030000079;CH DE MONTLUCON;030780100;M1040;2;4;1.5;;1
CHIRCAR_P;2021;030000079;CH DE MONTLUCON;030780100;N2120;1;;0.12;;
CHIRCAR_P;2021;030000079;CH DE MONTLUCON;030780100;N2200;4;;1.5;;
CHIRCAR_P;2021;030000079;CH DE MONTLUCON;030780100;N4130;5;;1.5;;
CHIRCAR_P;2021;030000079;CH DE MONTLUCON;030780100;NAUT;2;;1.02;;
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1040;3;0;1.37;0;1
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;MAUT;;1;0.3;;
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;0;1;0.15;;
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;8;3;9.81;;
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;3;0;3.51;;
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;4;1;4.83;;
CHIRCAR_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;2;3;4.15;;
CHIRCAR_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1040;6;5;7.9;1;1
CHIRCAR_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;7;;6.1;;
