BOR;AN;FI;RS;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;112AX;;;;;6;0;;;;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;112BA;;;;19;77;11025;;;;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;1150A;;;;;6;;;;;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;1210;;;;;11;;;;572;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;121AX;;;;;8;;;;416;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;121CX;;;;3;3;;;;156;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;122AX;;;;1;;;;;1;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;122BX;;;;1;;;;;;;
DIALYSE;2021;010000024;CH DE FLEYRIAT;010780054;TOT;1;1;0;;;;914;0;;54;7
DIALYSE;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;1130X;;;;8;18;2772;;;;;
DIALYSE;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;TOT;0;;;;;;;1;;;
DIALYSE;2021;010780294;NEPHROCARE CH BELLEY;690000278;112AX;;;;1;8;154;;;;;
DIALYSE;2021;010780294;NEPHROCARE CH BELLEY;690000278;112BA;;;;12;19;3406;;;;;
DIALYSE;2021;010780294;NEPHROCARE CH BELLEY;690000278;1130X;;;;8;33;4772;;;;;
DIALYSE;2021;010780294;NEPHROCARE CH BELLEY;690000278;1140X;;;;6;5;768;;;;;
DIALYSE;2021;010780294;NEPHROCARE CH BELLEY;690000278;1150A;;;;1;1;185;;;;;
DIALYSE;2021;010780294;NEPHROCARE CH BELLEY;690000278;TOT;0;;;;;;0;;;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;112AX;;;;3;5;868;;;;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1130X;;;;16;61;8349;;;;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1140X;;;;6;10;1427;;;;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1150A;;;;7;6;1996;;;;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;1210;;;;;11;;;;447;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121AX;;;;;7;;;;282;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;121CX;;;;4;4;;;;165;;
DIALYSE;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;TOT;0;;;;;;;;;;
DIALYSE;2021;020000162;CH SAINT-QUENTIN;020000063;112BA;;;;30;109;17167;;;;;
DIALYSE;2021;020000162;CH SAINT-QUENTIN;020000063;122BX;;;;4;4;;;;1205;;
DIALYSE;2021;020000162;CH SAINT-QUENTIN;020000063;TOT;1;3;192;;;;1470;;;83;2
