BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2021;010000024;CH DE FLEYRIAT;010780054;M1110;;4;1.61;0;1
DIALYSE_P;2021;010000024;CH DE FLEYRIAT;010780054;N2500;5;10;8.64;;
DIALYSE_P;2021;010000024;CH DE FLEYRIAT;010780054;NAUT;3;6;4.64;;
DIALYSE_P;2021;010000024;CH DE FLEYRIAT;010780054;NCINF;15;12;22.8;;
DIALYSE_P;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;M1110;;1;0.25;0;1
DIALYSE_P;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;NAUT;;5;0.21;;
DIALYSE_P;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;NCINF;3;4;4.39;;
DIALYSE_P;2021;010780294;NEPHROCARE CH BELLEY;690000278;M1110;7;;1;;1
DIALYSE_P;2021;010780294;NEPHROCARE CH BELLEY;690000278;N2500;3;0;2.9;;
DIALYSE_P;2021;010780294;NEPHROCARE CH BELLEY;690000278;N4100;0;0;0.42;;
DIALYSE_P;2021;010780294;NEPHROCARE CH BELLEY;690000278;NAUT;0;0;0.21;;
DIALYSE_P;2021;010780294;NEPHROCARE CH BELLEY;690000278;NCINF;11;1;11.09;;
DIALYSE_P;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;M1110;1;3;1.3;;
DIALYSE_P;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;N4100;2;5;3.8;;
DIALYSE_P;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;NCINF;16;7;18.84;;
DIALYSE_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1110;7;;3.5;0;1
DIALYSE_P;2021;020000162;CH SAINT-QUENTIN;020000063;N4100;0;1;0.31;;
DIALYSE_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;8;4;8.18;;
DIALYSE_P;2021;020000162;CH SAINT-QUENTIN;020000063;NCINF;29;5;32.41;;
DIALYSE_P;2021;020000394;CH LAON;020000253;M1110;3;0;3;0;1
DIALYSE_P;2021;020000394;CH LAON;020000253;N2500;2;1;2.81;;
DIALYSE_P;2021;020000394;CH LAON;020000253;NAUT;4;3;5.43;;
DIALYSE_P;2021;020000394;CH LAON;020000253;NCINF;10;1;11.03;;
DIALYSE_P;2021;020000519;CH SOISSONS;020000261;M1110;3;;3;0;1
DIALYSE_P;2021;020000519;CH SOISSONS;020000261;N2500;3;;2.51;;
DIALYSE_P;2021;020000519;CH SOISSONS;020000261;NAUT;2;4;3.51;;
DIALYSE_P;2021;020000519;CH SOISSONS;020000261;NCINF;20;5;22.35;;
DIALYSE_P;2021;030000061;CH DE MOULINS;030780092;M1110;3;2;4;1;1
DIALYSE_P;2021;030000061;CH DE MOULINS;030780092;N2500;5;2;4.78;;
DIALYSE_P;2021;030000061;CH DE MOULINS;030780092;NAUT;0;0;0.95;;
DIALYSE_P;2021;030000061;CH DE MOULINS;030780092;NCINF;13;6;13.1;;
DIALYSE_P;2021;030000079;CH DE MONTLUCON;030780100;M1110;4;2;2.16;0;1
DIALYSE_P;2021;030000079;CH DE MONTLUCON;030780100;N2500;8;;7.13;;
DIALYSE_P;2021;030000079;CH DE MONTLUCON;030780100;NAUT;3;;1.6;;
DIALYSE_P;2021;030000079;CH DE MONTLUCON;030780100;NCINF;10;1;10.58;;
DIALYSE_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1110;5;1;5.8;0;1
DIALYSE_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;3;1;3.48;;
DIALYSE_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;4;0;3.56;;
DIALYSE_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NCINF;14;6;18.01;;
DIALYSE_P;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;M1110;;3;1.25;0;0
DIALYSE_P;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;N4100;;6;0.37;;
DIALYSE_P;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;NAUT;2;2;3.02;;
DIALYSE_P;2021;030003669;UNITE DE DIALYSE DE MONTLUCON;630000990;NCINF;10;5;11.19;;
DIALYSE_P;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;M1110;;3;1.13;0;0
DIALYSE_P;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;N4100;;6;0.2;;
DIALYSE_P;2021;030003719;UNITE DE DIALYSE DE MOULINS;630000990;NCINF;2;4;4.8;;
DIALYSE_P;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;M1110;;7;1.85;0;0
DIALYSE_P;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;N4100;;6;0.65;;
DIALYSE_P;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;NAUT;1;2;1.15;;
DIALYSE_P;2021;030003768;UNITE DE DIALYSE DE VICHY;630000990;NCINF;;16;11;;
DIALYSE_P;2021;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;M1110;;;;0;1
DIALYSE_P;2021;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;NCINF;2;;2;;
DIALYSE_P;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;M1110;3;;3;0;1
DIALYSE_P;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;N2500;4;;4;;
DIALYSE_P;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;N4100;2;;2;;
DIALYSE_P;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;NAUT;7;3;8.99;;
DIALYSE_P;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;NCINF;21;4;23.76;;
DIALYSE_P;2021;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;M1110;;;;0;1
DIALYSE_P;2021;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;NCINF;1;;1;;
DIALYSE_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M1110;;1;1.11;;
DIALYSE_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2500;2;;2.43;;
DIALYSE_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;;2;1.82;;
DIALYSE_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NCINF;3;4;5.39;;
DIALYSE_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1110;;2;1.1;;
DIALYSE_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;2;5;5.3;;
DIALYSE_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;;4;1.46;;
DIALYSE_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NCINF;5;4;7.53;;
DIALYSE_P;2021;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;M1110;0;0;0;0;1
DIALYSE_P;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;M1110;;0;0;0;1
DIALYSE_P;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;NCINF;5;;4.11;;
