NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A10;PHARMA_A16_OUI;PHARMA_A17_OUI;PHARMA_A18_OUI;PHARMA_A19_OUI;PHARMA_A20_OUI;PHARMA_A16_NON;PHARMA_A17_NON;PHARMA_A18_NON;PHARMA_A19_NON;PHARMA_A20_NON;NB_SCAN;ACT_SCAN;ACTNUI_SCAN;NB_IRM;ACT_IRM;ACTNUI_IRM;NB_CAM;ACT_CAM;ACTNUI_CAM;NB_TOMO;ACT_TOMO;ACTNUI_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;ACTNUI_LITHO;NB_RADIO;ACT_RADIO;ACTNUI_RADIO;NB_VASC;ACT_VASC;ACTNUI_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;INTTOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
ARA-01;84101;ALLIER PUY-DE-DÔME;1757;507;201;2465;84746;28578;13522;126846;552273;143581;46802;742656;142;71;17;230;25301;20787;2195;48283;876;65;0;941;515;31;0;546;4616;389;;5005;156;82;0;238;20995;9233;;30228;1;0;1;218;0;218;3154;156;0;3299;14457;4474;1;18908;18297;4897;1;23034;676;5466;180109;9863;42;581;372;195899;90;1076;29571;747;7617386;1178276;;;;;;;;;;;;;;;;;17;171710;;8;44466;;1;7931;;;;;7;6917;2;1548;;37;210668;;7;16821;;11;47;5;8;4;17;0;13;0;2;0;87;9;1;16;3;1;105;12;8;49067;6837;7649;2943;29445;1483;947;163;76;151;218;70;94;63;79;127;1528;44;10;0;0;10;0;0;0;0;0;54;737.37;117.56;68.12;129.01;149.57;48.71;81.34;27.65;68.94;84.08;1148.95;721;692.23;238;253;459;3880;3311;1567;200;269;10177;49;9;1548;198;110;152;356;274;28;2012;4626;14803;210.72;232.51;441.53;3691.68;3170.06;1465.55;132.51;220.92;9565.48;45.69;9.17;1448.6;171.44;94.01;136.11;341.22;261.08;22.65;1922.91;4358.87;13924.35;20;4;15;1;
ARA-02;84102;SAVOIE BELLEY;858;295;134;1287;42136;16496;6313;64945;251825;65527;24847;342199;87;81;18;186;5587;13989;1094;20670;230;8;;238;200;8;;208;1968;205;;2173;77;28;;105;2373;716;;3089;0;;0;0;;0;1210;47;0;1243;7854;4606;1177;13470;9206;4724;1222;14907;297;2813;86908;6119;34;173;167;61287;68;1742;28806;720;1593473;203077;;;;;;;;;;;;;;;;;9;64991;;4;14070;;3;9735;;1;10234;;2;4501;1;223;;16;144074;;2;3483;;7;23;4;5;2;2;1;4;0;0;0;34;7;10;5;1;2;47;11;22;30362;4223;1390;512;15268;317;612;129;127;62;133;47;54;10;65;26;900;1;0;0;0;6;0;;;0;4;11;476.76;87.87;104.38;52.27;98.68;32.17;45.77;7.61;49.85;15.51;694.18;168;151.02;128;127;217;1852;1285;635;139;182;4565;36;4;971;118;59;86;99;148;11;826;2299;6864;108.85;141.91;194.11;1708.89;1173.91;555.65;107;145.52;4135.84;35.64;3.83;866.23;103.89;51.71;79.67;92.31;139.15;11.77;771.71;2104.2;6240.04;12;;10;1;1
ARA-03;84103;BRESSE HAUT-BUGEY;408;94;65;567;17530;5810;4772;28112;124244;20639;15012;159895;29;27;1;57;4039;4777;102;8918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;393;3900;105284;2549;13;170;120;55091;45;538;12445;311;4201346;273116;;;;;;;;;;;;;;;;;3;19502;;3;10551;;;;;;;;;;;;;8;54932;;2;;;3;12;1;3;3;1;0;2;0;1;0;19;4;;3;1;;27;4;;10615;1491;129;319;6497;73;215;68;22;27;50;12;;2;27;6;300;15;14;0;0;0;0;;2;0;0;17;169.22;51.41;17.18;26.18;42.1;12.57;;1.6;21.52;5.24;239.68;72;66.9;65;56;106;727;736;270;40;102;2102;14;4;416;28;18;57;45;48;5;439;1056;3158;57.93;53.2;98.3;681.61;684.55;239.42;20.98;67.07;1903.06;11.15;2.53;358.26;19.54;13.12;46.22;43.74;47.01;4.81;378.51;911.77;2814.83;12;;10;;2
ARA-04;84104;CANTAL;367;77;35;479;13920;3934;2078;19932;96144;17244;6112;119500;33;16;0;49;2328;2720;0;5048;142;14;;156;135;10;;145;1146;393;;1539;57;22;;79;9044;3976;;13020;1;;1;27;;27;766;41;;807;2947;1243;;4190;3930;1355;;5285;186;1415;43092;904;15;150;147;46773;15;658;5548;232;1121898;29096;;;;;;;;;;;;;;;;;2;33846;;2;14635;;;;;;;;2;2407;;;;8;46294;;1;1545;;3;9;3;2;2;1;1;2;1;0;0;14;7;0;3;2;0;17;1;0;6389;936;793;169;3861;12;143;31;22;23;40;11;11;2;14;15;225;4;;;;;;;;;;4;105.37;26.36;18.94;15.69;27.44;4.41;10.08;0.5;12.22;11.79;167.4;82;59.56;38;49;56;647;582;263;37;52;1724;10;1;274;64;20;30;25;36;4;307;751;2475;36.57;44.48;53.36;617.92;555.8;245.97;24.47;36;1614.57;9.44;1.01;249.62;43.92;15.15;27.55;24.81;33.85;3.14;292.07;685.41;2299.98;9;;8;;1
ARA-05;84105;ALPES DAUPHINÉ;905;483;94;1482;50635;20346;6623;77604;306603;109929;25883;442415;162;52;18;232;20703;9945;3154;33802;341;22;0;363;325;20;0;345;3275;308;0;3583;100;103;22;225;9148;14791;4680;28619;0;1;1;0;13;13;2072;180;0;2248;12543;4961;1230;18449;15144;5449;1287;22590;466;4747;117926;19166;54;346;178;101884;112;2929;23669;835;6068230;491182;;;;;;;;;;;;;;;;;7;103424;;6;58595;;4;9816;;1;4792;;2;2930;1;114;;26;191238;;4;9682;;5;44;7;3;1;14;;8;;;;69;8;;7;3;;48;14;;40857;3818;3317;2041;11840;318;790;104;34;140;171;40;129;2;87;149;1328;14;1;;;10;6;;;;;24;613.24;81.57;25.66;114.42;120.9;25.5;109.54;0.5;73.26;98.61;1016.05;795;779.85;135;211;447;2714;1760;1037;263;365;6932;41;1;1468;190;105;117;320;214;39;1384;3774;10706;116.05;206.96;390.73;2545.66;1631.16;977.04;197.4;297.9;6362.9;38.74;1;1312.64;169.79;97.41;100.12;298.75;199;34.02;1310.66;3464.72;9827.62;11;4;6;1;
ARA-06;84106;HAUTE-LOIRE;327;111;21;459;17859;6074;1420;25353;92955;28036;5565;126556;23;25;2;50;1361;7452;197;9010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112;1282;32866;1393;9;131;101;43663;64;499;14578;380;1139653;211768;;;;;;;;;;;;;;;;;3;44977;;2;17482;;;;;;;;1;2317;;;;6;52889;;;;;2;9;1;1;1;;0;2;0;;0;12;2;2;3;0;1;20;0;2;10737;849;148;292;5127;13;124;28;18;18;37;8;2;2;16;12;193;22;17;0;0;0;0;0;0;0;0;22;105.99;22.02;15.91;16.15;33.86;5.72;0.6;0.73;13.69;6.61;161.48;77;59.05;29;36;62;613;557;281;16;47;1641;12;1;313;17;12;37;36;56;5;224;701;2342;22.89;35.9;57.09;552.66;494.45;237.59;12.66;34.89;1448.13;12.5;0.92;279.22;14.13;10.36;30.74;35.5;50.71;4.73;201.9;630.35;2078.48;5;;5;;
ARA-07;84107;LÉMAN MONT-BLANC;618;155;83;856;29906;9472;6560;45938;185309;38754;23133;247196;38;46;1;85;5642;11384;1138;18164;208;0;0;208;208;0;0;208;1884;;;1884;58;29;;87;7379;1337;;8716;5;;5;0;;0;1131;;;1131;5237;2417;;7376;6718;2463;331;9145;82;685;25150;0;;110;59;35195;62;1507;18005;708;658002;74979;;;;;;;;;;;;;;;;;4;54133;;3;17139;;3;11706;;1;9896;;3;5855;;;;10;87963;;;;;4;16;3;4;3;1;0;6;0;2;0;29;6;1;3;3;0;37;16;0;19248;3426;379;480;13520;87;350;80;50;44;100;40;42;4;27;14;537;6;;;;7;;;1;;;14;272.25;55.1;44.87;41.28;78.85;23.96;34.81;0.16;21.15;13.45;420.67;118;95.78;118;79;97;1158;858;370;106;113;2899;41;4;657;93;38;61;80;81;5;653;1675;4574;101.2;72.1;91.22;1068.41;802.86;337.28;82.3;86.62;2641.99;33.74;4.77;566.47;80.95;35.73;50.8;71.02;77.39;4.57;558.58;1448.29;4090.28;9;;6;1;2
ARA-08;84108;GENEVOIS ANNECY ALBANAIS;554;140;83;777;30304;9266;6059;45629;165449;40890;22994;229333;41;10;;51;3780;8665;0;12445;93;0;;93;75;0;;75;744;4;;748;20;28;;48;2110;2211;;4321;;;;;;;407;;;407;4187;1799;;5783;5317;1887;;6961;145;1023;34844;5662;25;135;65;43664;35;512;11670;334;1358911;132189;;;;;;;;;;;;;;;;;3;39205;;3;11020;;;;;;;;1;2333;1;67;;8;62870;;3;6480;;11;18;2;3;2;4;1;10;0;0;0;35;5;1;2;1;0;28;19;0;17720;2878;2003;554;7534;174;406;91;64;57;73;22;38;4;31;19;571;2;0;;;2;;;;;;4;325.15;59.91;55.27;49.79;64.25;18.48;31.17;0.37;28.98;17.77;467.69;119;104.45;86;70;132;1147;904;410;76;116;2941;15;1;635;81;47;70;69;72;7;506;1456;4397;76.01;68.64;120.6;1075.51;822.55;357.04;56.68;93.17;2670.2;11.75;1;551.04;62.28;40.16;61.85;62.49;67.03;6.54;439.76;1263.74;3933.94;7;;6;;1
ARA-09;84109;LOIRE;1454;390;192;2036;81663;18384;12346;112393;444628;100013;40835;585476;157;102;13;272;23586;22344;2055;47985;291;19;;310;255;18;;273;3884;287;;4171;191;75;;266;20755;9906;;30661;0;0;0;0;0;0;2540;152;;2627;14805;3356;920;19028;18181;3854;920;23038;733;6328;180366;11767;66;420;362;145354;50;411;13059;273;5776242;1094120;;;;;;;;;;;;;;;;;10;156956;;6;42762;;3;5512;;1;3794;;5;7282;1;39;;30;219583;;4;8039;;12;52;6;6;3;10;3;13;1;5;1;86;14;0;10;3;0;78;19;0;47529;6023;4500;883;22687;1099;1044;374;51;117;259;70;98;5;102;92;1600;16;15;;0;0;0;;;0;0;16;671.29;221.68;35.34;75.94;153.85;43.25;68.67;2.28;77.35;59.47;1032.91;746;789.98;219;251;340;3701;2588;1350;229;377;9055;58;7;1756;196;129;158;306;253;39;1707;4480;13535;197.76;232.12;315.54;3366.38;2334.77;985.79;136.2;231.18;7799.74;45.01;3.98;1521.34;144.62;95.73;132.81;279.84;227.4;37.28;1494.77;3887.05;11686.79;24;4;18;;2
ARA-10;84110;RHÔNE CENTRE;2347;807;278;3432;97745;38829;19440;156014;654587;183168;77485;915240;308;124;41;473;66746;25845;6860;99451;;24;;24;;24;;24;;812;;812;;9;;9;;1214;;1214;;;;;;;;;;;;;;;;721;;721;818;7087;225168;19077;82;466;322;152987;;;;;12565520;1772009;;;;;;;;;;;;;;;;;13;148619;;10;52625;;5;18815;;3;4975;;6;4618;;;;36;200766;;14;15539;;21;105;11;6;6;15;3;14;0;12;0;152;20;5;22;6;2;197;17;12;88193;11700;6033;3378;34513;1276;1555;237;97;267;357;80;43;72;100;540;2667;0;0;;;;;;;;;0;882.87;96.85;61.44;171.3;172.98;40.16;25.94;21.96;74.77;705.9;1884.42;1059;1068;312;312;865;4591;4133;681;198;636;11728;96;5;1775;167;107;225;717;424;5;1873;5287;17015;292.67;338.69;793.97;4444.92;3898.6;692.38;141.25;504.59;11107.07;166.66;8.91;2062.51;156.35;109.99;238.23;702.24;400.86;4.86;2731.54;6472.16;17579.23;15;12;3;;
