BOR;AN;FI;RS;FI_EJ;PERSO;EFFPLS;EFFPAS;ETPS;NBLIB
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;M9999;;3;1.94;157
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;MAUT;;3;1.13;157
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;Mcoor;;;0.81;
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;N2210;5;6;8.53;
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;N2710;;1;0.34;
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;N9999;7;7;10.87;
HAD_P;2021;010000024;CH DE FLEYRIAT;010780054;NAUT;2;;2;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M3050;;1;0.5;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;M9999;1;1;1.6;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Mcoor;1;;1.1;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2120;1;;1;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N2710;;1;0.35;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N3120;;2;1;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;N9999;8;6;11.5;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;4;1;4.53;
HAD_P;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;Ncoor;3;2;4.62;
HAD_P;2021;020000089;CH GUISE;020000022;M3050;0;1;0.4;0
HAD_P;2021;020000089;CH GUISE;020000022;M9999;0;2;0.8;73
HAD_P;2021;020000089;CH GUISE;020000022;MAUT;0;0;0;73
HAD_P;2021;020000089;CH GUISE;020000022;Mcoor;0;1;0.4;
HAD_P;2021;020000089;CH GUISE;020000022;N2120;1;0;0.5;
HAD_P;2021;020000089;CH GUISE;020000022;N2210;2;0;2;148
HAD_P;2021;020000089;CH GUISE;020000022;N2410;0;0;0;44
HAD_P;2021;020000089;CH GUISE;020000022;N2510;25;0;25;
HAD_P;2021;020000089;CH GUISE;020000022;N2710;0;1;0.1;0
HAD_P;2021;020000089;CH GUISE;020000022;N3120;0;1;0.08;
HAD_P;2021;020000089;CH GUISE;020000022;N9999;30;4;30.18;203
HAD_P;2021;020000089;CH GUISE;020000022;NAUT;0;2;0.5;11
HAD_P;2021;020000089;CH GUISE;020000022;Ncoor;2;0;2;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;M3050;;1;0.15;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;M9999;;4;0.66;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;Mcoor;;3;0.51;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;N2120;1;;1;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;N2210;5;;4.64;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;N2510;13;;11.33;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;N2710;;1;0.76;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;N3120;;1;0.53;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;N9999;21;2;20.35;
HAD_P;2021;020004297;HAD AMSAM SOISSONS;020005179;Ncoor;2;;2.09;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;M9999;0;1;0.12;0
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;Mcoor;0;1;0.12;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;N2120;0;1;0.5;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;N2510;0;24;2.56;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;N2710;0;1;0.31;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;N9999;0;35;6.61;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;NAUT;;7;2.13;
HAD_P;2021;020010898;HAD CRF CHAUNY;750721334;Ncoor;0;2;1.11;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;M3050;;;;41
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;M9999;;2;0.3;41
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;Mcoor;;2;0.3;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2120;1;;1;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2210;3;1;3.14;165
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2410;;;;46
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2460;;;;1
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2510;12;8;14.92;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N2710;;1;0.5;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N3120;;1;0.4;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;N9999;25;13;31.23;212
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;NAUT;6;2;8.27;
HAD_P;2021;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;Ncoor;3;;3;
HAD_P;2021;030000061;CH DE MOULINS;030780092;M9999;0;2;0.31;0
HAD_P;2021;030000061;CH DE MOULINS;030780092;Mcoor;0;2;0.31;
HAD_P;2021;030000061;CH DE MOULINS;030780092;N2120;0;1;0.45;
HAD_P;2021;030000061;CH DE MOULINS;030780092;N2210;6;0;5.85;123
HAD_P;2021;030000061;CH DE MOULINS;030780092;N2510;2;0;2;
HAD_P;2021;030000061;CH DE MOULINS;030780092;N9999;8;2;8.8;123
HAD_P;2021;030000061;CH DE MOULINS;030780092;NAUT;0;1;0.5;
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;M9999;1;;0.5;
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;Mcoor;1;;0.5;
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;N2120;1;;0.4;
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;N2210;3;;2.79;157
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;N2410;;;;2
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;N3120;;;0.3;
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;N9999;9;;7.64;159
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;NAUT;3;;2.15;
HAD_P;2021;030000079;CH DE MONTLUCON;030780100;Ncoor;2;;2;
