AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
2021;010000099;010780120;9;;;9;198;0;0;198;3541;0;0;3541;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;229;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;3;;;;;;;;;;;;;0.09;;;;;;;;;0.82;0.91;;;1;;9;25;8;1;3;47;1;;12;1;1;2;;;;15;31;78;;1;;6.1;13.51;6.23;0.3;2.54;29.68;0.28;;4.44;0.28;0.28;0.83;;;;6.35;12.18;41.86;;;;;;;;;;;;;;;;;;;;;
2021;010000107;010780138;15;;;15;209;0;0;209;2531;0;0;2531;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;258;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;3;;;;;;;;;;;;;1.6;;;;;;;;0.48;;2.08;;;1;;10;15;4;1;2;33;1;;10;2;1;2;;;;22;37;70;;0.67;;9.36;12.86;4.98;0.3;1.2;29.37;0.17;;2.83;0.82;0.5;0.3;;;;3.7;7.82;37.19;;;;;;;;;;;;;;;;;;;;;
2021;010000115;010009132;12;;;12;92;0;0;92;2234;0;0;2234;0;;;0;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;138;0;;30;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;1;;4;;;;;;;;;;;;;2.08;1.08;;;;;;;0.4;;2.48;;;2;;16;28;22;4;7;79;1;1;6;2;1;2;;;;16;28;107;;1.02;;11.6;21.48;17.93;0.9;3.74;56.67;0.47;0.26;2.43;0.71;0.61;1.27;;;;10.84;15.98;72.65;;;;;;;;;;;;;;;;;;;;;
2021;010000131;010009132;8;0;0;8;129;0;0;129;2103;0;0;2103;0;0;0;0;0;0;0;0;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;275;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;3;;;;;;;;;;;;;1.4;;;;;;;;0.48;;1.88;;;1;;14;14;12;1;5;47;1;1;9;2;1;1;;;;12;26;73;;1;;14.19;12.61;10.27;0.4;1.98;40.45;0.53;0.3;4.71;0.7;0.45;0.5;;;;6.77;13.51;53.96;;;;;;;;;;;;;;;;;;;;;
2021;020000089;020000022;28;0;0;28;766;0;0;766;6656;0;0;6656;0;0;0;0;0;0;0;0;;16045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;413;0;0;30;6;30;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;5;;;;;;;2;1;13;;0;0;;;;;;;0;0;0;4.7;3.3;;;;;;;2;0.1;6.8;0;;4;;49;83;34;1;4;175;;;23;3;3;5;;1;1;22;55;230;;4;;47.23;83.45;33.24;0.7;1.93;170.55;;;22.49;2.41;2.41;4.88;;0.86;1;22;53.64;224.19;;;;;;;;;;;;;;;;;;;;;
2021;020000097;020000048;38;;;38;685;0;0;685;10255;0;0;10255;;;;;0;0;0;0;;374;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;272;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;;;;;1;;1;1;9;1;;;;;;;;;;;;5.21;3.82;;;;;1;;1.12;0.4;7.73;1;;2;;31;43;19;2;1;98;;;17;4;1;2;;;;14;37;135;;2.44;;30.88;41.4;18.43;2.28;1;96.43;;;16.46;3.63;1;1.86;;;;13.86;35.81;132.24;;;;;;;;;;;;;;;;;;;;;
2021;020000105;020000055;15;;;15;277;0;0;277;3401;0;0;3401;;;;;0;0;0;0;;1763;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;199;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;2;7;;1;;;;1;;;;2;3;7;1.93;1.6;;;;;;;;0.12;2.05;;;1;;13;16;10;1;2;43;2;;8;1;1;;;;;18;29;72;;0.14;;10.37;14.11;8.14;0.42;0.85;34.03;1.5;;7.86;0.24;0.24;;;;;16.68;26.28;60.31;;;;;;;;;;;;;;;;;;;;;
2021;020000246;020000071;25;;;25;391;0;0;391;6056;0;0;6056;;;;;0;0;0;0;;1148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;236;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;4;;;;;;1;;;;;;1;3.7;3;;;;;;;;;3.7;;;2;;19;27;13;2;4;67;1;;9;1;1;;;;;19;30;97;;2;;17.26;26.79;15.66;1;2.65;65.36;0.08;;7.53;1;1;;;;;16.13;24.74;90.1;;;;;;;;;;;;;;;;;;;;;
2021;020001087;020004495;60;;;60;2514;0;0;2514;13712;0;0;13712;4;;;4;666;0;0;666;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;233;0;;;;;;1;12524;0;;1;0;0;0;0;;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;0;26;5;10;;;;1;;2;1;30;;;;;;;;;;;;;25.14;7.7;10.91;;;;0.8;;1.91;0.25;28.1;;;3;;54;45;19;1;6;128;2;1;37;2;1;3;;6;;32;83;211;;3;;51.65;44.79;19.57;0.37;5.82;125.2;2;0.41;37.16;1.25;0.25;3.08;;5.48;;31.67;81.05;206.25;;;;;;;;;;;;1;;;;;;;;;
2021;030000095;030780126;8;0;0;8;90;0;0;90;2245;0;0;2245;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;342;90;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;1;;4;;;;;;;;;;;;;1.8;1.7;;;;;;;1;;2.8;;;1;;10;15;22;;4;52;;;21;2;1;;;3;;25;51;103;;0.49;;8.91;12.65;18.84;;3.48;44.37;;;14.23;1.8;0.8;;;2.97;;22.93;41.93;86.3;;;;;;;;;;;;;;;;;;;;;
