BOR;AN;FI;RS;FI_EJ;GRP;REG;DEP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARMT
IDB;2021;010002236;CMP ENFANTS-ADO BOURG-EN-BRESSE;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200223;;14;R;DE L'ECOLE;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010002244;CATTP AGORA;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200678;;;BD;JULES FERRY;3 & 5 BD JULES FERRY;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010002251;HDJ ADULTES CHATILLON;010783009;35;84;01;61;3;292;PNL3;6;1;;0;0;77554456200850;;;;;289 A AVENUE DUBANCHET;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2021;010006286;CATTP ADULTES AMBERIEU;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200660;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2021;010006385;CATTP ENFANTS-ADOS CHATEAU-GAILLARD;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200751;;;R;JEAN MERMOZ;;;01500;CHATEAU GAILLARD;01089;;
IDB;2021;010007854;CATTP ADULTES BELLEGARDE;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200777;;6;R;JEAN MALET;;;01200;VALSERHONE;01033;;
IDB;2021;010007862;CATTP ENFANTS LES 4 SAISONS;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200835;;14;R;DE L'ECOLE;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010007870;CMP PERSONNES AGEES BOURG-EN-BRESSE;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200785;;18;R;DU 23EME RI;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010007896;CMP ENFANTS-ADOS FERNEY-VOLTAIRE;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200363;;11;R;DE GENEVE;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2021;010007904;HDJ ADULTES MONTLUEL;010783009;35;84;01;61;3;292;PNL3;6;1;;0;0;;;284;AV;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2021;010007920;HDJ ADULTES AMBERIEU;010783009;35;84;01;61;3;292;PNL3;6;1;;0;0;77554456201031;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2021;010007987;CH PUBLIC HAUTEVILLE;;02;84;01;11;1;355;;1;0;;2;1;;;;;FELIX MANGINI;;BP 41;01110;PLATEAU D HAUTEVILLE;01185;;
IDB;2021;010008050;CATTP ADULTES FERNEY-VOLTAIRE;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456201098;;13;CHE;DU LEVANT;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2021;010008092;CMP ENFANTS ADO FEILLENS;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200876;;179;R;DE LA MOLANDIERE;;;01570;FEILLENS;01159;;
IDB;2021;010008217;HDJ ADULTES BOURG-EN-BRESSE;010783009;35;84;01;61;3;292;PNL3;6;1;;0;0;77554456200900;;4;R;D'ALLEMAGNE;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010008407;CH DU HAUT BUGEY;;02;84;01;14;1;355;;1;0;;1;1;;;;;DE VEYZIAT;;CS 20100;01117;OYONNAX CEDEX;01283;0474731001;
IDB;2021;010008993;HDJ ENFANTS LA PASSERELLE BOURG;010783009;35;84;01;61;3;292;PNL3;6;1;;0;0;;;7;AV;MUSCAT;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010009124;AT OYONNAX;010783009;35;84;01;61;3;412;PNL7;6;9;;0;0;;;;;;;;01100;OYONNAX;01283;;
IDB;2021;010009132;CHI AIN VAL DE SAONE;;02;84;01;14;1;355;;1;0;;2;1;;;;;PIERRE GOUJON;;BP 68;01290;PONT DE VEYLE;01306;0385362350;
IDB;2021;010009934;CMP ADULTES REHABILITATION;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200108;;;AV;DE MARBOZ;;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2021;010009942;CATTP UAE PSYCHIATRIE GENERALE;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200108;;;AV;DE MARBOZ;;;01012;BOURG EN BRESSE CEDEX;01053;;
IDB;2021;010009967;CMP ENFANTS-ADOS CHATILLON;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200470;;289;AV;DUBANCHET;289A;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2021;010009983;CATTP ADOS ESCAL'ADO BOURG-EN-BRESSE;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456201338;;;AV;DE MARBOZ;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010009991;CATTP ENFANTS-ADO AMBERIEU;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456201197;;60;R;ARISTIDE BRIAND;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2021;010010007;CATTP ADULTES MONTREVEL;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456201411;;;PL;DE LA RESISTANCE;1ER ETAGE;;01340;MONTREVEL EN BRESSE;01266;;
IDB;2021;010012201;CATTP ADULTES BELLEY;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200934;;;;ILOT BAUDIN;REZ DE CHAUSSEE;;01300;BELLEY;01034;;
IDB;2021;010780054;CH FLEYRIAT;;02;84;01;13;1;355;;1;0;;1;1;;;;;DE PARIS;;CS 90401;01012;BOURG EN BRESSE CEDEX;01053;0474454647;
IDB;2021;010780062;CH BUGEY SUD;;02;84;01;13;1;355;;1;0;;1;1;;;;;DE NARVIK;;BP 139;01300;BELLEY;01034;0479425959;
IDB;2021;010780096;CH DE TREVOUX;;02;84;01;13;1;355;;1;0;;1;1;;;;;DE L'HOPITAL;;CS 70615;01606;TREVOUX CEDEX;01427;0474105000;
IDB;2021;010780112;CH DU PAYS DE GEX;;02;84;01;13;1;106;;1;0;;1;1;;;;;MARC PANISSOD;;BP 437;01174;GEX CEDEX;01173;0450403838;
IDB;2021;010780120;CH DE MEXIMIEUX;;02;84;01;13;1;106;;1;0;;1;1;;;;;DOCTEUR BOYER;;;01800;MEXIMIEUX;01244;0474610177;
IDB;2021;010780138;CH DE PONT DE VAUX;;02;84;01;13;1;106;;1;0;;1;1;;;;;DES NIVRES;;BP 55;01190;PONT DE VAUX;01305;0385308000;
IDB;2021;010780823;USLD HOTEL DIEU;010780054;34;84;01;13;1;362;PUB9;1;0;;0;0;26010004500020;;47;BD;DE BROU;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010786705;CMP ENFANTS-ADOS ST MAURICE DE BEYNOST;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200744;;2;R;HONORE DE BALZAC;;;01700;ST MAURICE DE BEYNOST;01376;;
IDB;2021;010786713;CMP ADULTES BELLEY;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200710;;;;ILOT BAUDIN;1ER ETAGE;;01300;BELLEY;01034;;
IDB;2021;010786721;CMP ENFANTS-ADO AMBERIEU;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200694;;60;R;A. BRIAND;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2021;010786754;CMP ADULTES BELLEGARDE-SUR VALSERINE;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200702;;6;R;JEAN MALET;;;01200;VALSERHONE;01033;;
IDB;2021;010787869;CMP ENFANTS-ADO BELLEGARDE;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200314;;2;AV;SAINT-EXUPERY;;;01200;VALSERHONE;01033;;
IDB;2021;010787885;CMP ADULTES BOURG ESPACE VILLARD;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200942;;6B;R;G VICAIRE;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010787893;CMP URGENCES LIAISON CH FLEYRIAT;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200348;;;;;DANS LE C.H.G. FLEYRIAT;;01440;VIRIAT;01451;;
IDB;2021;010787927;CMP ADULTES FERNEY-VOLTAIRE;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456201080;;13;CHE;DU LEVANT;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2021;010787968;CMP ENFANTS-ADOS TREVOUX;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200397;;;ALL;DE L'ESME;;;01600;TREVOUX;01427;;
IDB;2021;010788008;USLD CH PONT DE VEYLE;010009132;34;84;01;14;1;362;PUB9;1;0;;0;0;20003004700035;;;R;PIERRE GOUJON;;BP 68;01290;PONT DE VEYLE;01306;;
IDB;2021;010788248;CMP ENFANTS-ADO BELLEY;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200405;;;;ILOT BAUDIN;;;01300;BELLEY;01034;;
IDB;2021;010788347;CATTP ENFANTS-ADOS FERNEY-VOLTAIRE;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200389;LE SESAME;11;R;DE GENEVE;;;01210;FERNEY VOLTAIRE;01160;;
IDB;2021;010788677;CMP ADULTES OYONNAX;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200421;;15;R;J BAPTISTE CLEMENT;;;01100;OYONNAX;01283;;
IDB;2021;010788792;CMP ADULTES MONTREVEL;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200728;;;PL;DE LA RESISTANCE;;;01340;MONTREVEL EN BRESSE;01266;;
IDB;2021;010789022;USLD CH DU PAYS DE GEX;010780112;34;84;01;13;1;362;PUB9;1;0;;0;0;26010010200037;;160;R;MARC PANISSOD;;BP 437;01174;GEX CEDEX;01173;;
IDB;2021;010789311;CATTP ADULTES KAIROS;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200454;;1;R;DU 23EME RI;;;01000;BOURG EN BRESSE;01053;;
IDB;2021;010789451;CATTP ADULTES OYONNAX;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200462;;15;R;J B CLEMENT;;;01100;OYONNAX;01283;;
IDB;2021;010789634;CATTP ADULTES CHATILLON;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200470;;330;AV;CHARLES DE GAULLE;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2021;010789642;CMP ADULTES CHATILLON;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200488;;289;AV;DUBANCHET;;;01400;CHATILLON SUR CHALARONNE;01093;;
IDB;2021;010789675;CMP ADULTES AMBERIEU;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456201049;;31;R;DES PLATTES;;;01500;AMBERIEU EN BUGEY;01004;;
IDB;2021;010789691;CMP ADULTES MONTLUEL;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456201056;ESPACE COTIERE;284;AV;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2021;010789709;CATTP ADULTES MONTLUEL;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200793;ESPACE COTIERE;284;AV;DE LA GARE;;;01120;MONTLUEL;01262;;
IDB;2021;010789725;CMP ENFANTS-ADOS OYONNAX;010783009;35;84;01;61;3;156;PNL7;6;1;;0;0;77554456200520;;10B;AV;G. CLEMENCEAU;10 BIS AV. G. CLEMENCEAU;;01100;OYONNAX;01283;;
IDB;2021;010789733;CATTP ENFANTS-ADOS OYONNAX;010783009;35;84;01;61;3;425;PNL7;6;1;;0;0;77554456200538;;10B;AV;G. CLEMENCEAU;10 BIS AV G. CLEMENCEAU;;01100;OYONNAX;01283;;
IDB;2021;020000022;CENTRE HOSPITALIER DE GUISE;;02;32;02;13;1;355;;1;0;;1;1;;;;;DES DOCTEURS DEVILLERS;;;02120;GUISE;02361;0323515555;
IDB;2021;020000048;CENTRE HOSPITALIER GERONTOLOGIQUE;;02;32;02;13;1;355;;1;0;;1;1;;;;;DUPUIS;;;02800;LA FERE;02304;0323566700;
IDB;2021;020000055;CH NOUVION EN THIERACHE;;02;32;02;13;1;355;;1;0;;1;1;;;;;ANDRE RIDDERS;;BP 16;02170;LE NOUVION EN THIERACHE;02558;0323975656;
IDB;2021;020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;;02;32;02;13;1;355;;1;0;;1;1;;;;;MICHEL DE L'HOSPITAL;;BP 608;02321;ST QUENTIN CEDEX;02691;0323067171;
IDB;2021;020000071;CENTRE HOSPITALIER DE VERVINS;;02;32;02;13;1;355;;1;0;;1;1;;;;;DE LA LIBERTE;;;02140;VERVINS;02789;0323916060;
IDB;2021;020000154;HJ EPSMD SAINT-QUENTIN;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000180;ENFANTS ET ADOLESCENTS;222;R;DU DOCTEUR CORDIER;;;02100;ST QUENTIN;02691;;
IDB;2021;020000253;CH DE LAON;;02;32;02;13;1;355;;1;0;;1;1;;;;;MARCELIN BERTHELOT;;;02001;LAON CEDEX;02408;0323243333;
IDB;2021;020000261;CENTRE HOSPITALIER DE SOISSONS;;02;32;02;13;1;355;;1;0;;1;1;;;;;DU GENERAL DE GAULLE;;;02209;SOISSONS CEDEX;02722;0323757070;
IDB;2021;020000287;CENTRE HOSPITALIER DE CHAUNY;;02;32;02;13;1;355;;1;0;;1;1;;;;;DES ANCIENS COMBATTANTS;;;02303;CHAUNY CEDEX;02173;0323385500;
IDB;2021;020000295;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;;02;32;02;11;1;292;;1;0;;1;1;;;;;;;;02320;PREMONTRE;02619;0323236666;
IDB;2021;020002051;FOYER THÉRAPEUTIQUE EPSM AISNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000024;;28;AV;DE COMPIÈGNE;;;02200;SOISSONS;02722;;
IDB;2021;020002085;MAISON DE SANTÉ DE BOHAIN;;02;32;02;13;1;106;;1;0;;1;1;;LE CHAMP DE LA ROSE;;;OLIVIER DEGUISE;;;02110;BOHAIN EN VERMANDOIS;02095;0323075300;
IDB;2021;020002739;LITS DE PROXIMITÉ EPSMD AISNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000479;SECTEUR D;26;R;D'OULCHY LE CHÂTEAU;;;02200;BELLEU;02064;;
IDB;2021;020002788;CENTRE PSYCHOTHÉRAPIQUE EPSMD AISNE;020000295;24;32;02;11;1;292;PUB3;1;0;;0;0;26020034000487;;1;R;VICTOR ET LOUISE MONTFORT;;;02310;VILLIERS ST DENIS;02818;;
IDB;2021;020003620;CRF JACQUES FICHEUX;;02;32;02;12;1;355;;1;0;;1;1;;;;;DE SAINT NICOLAS;;;02410;ST GOBAIN;02680;0323387800;
IDB;2021;020003893;CATTP EPSMD BELLEU;020000295;24;32;02;11;1;425;PUB7;1;0;;0;0;26020034000081;DAUMÉZON;22;R;D'OULCHY LE CHÂTEAU;;;02200;BELLEU;02064;;
