bor;an;fi;rs;rscom;fi_ej;grp;stj;stjr;cat;catr;espic;mft;ccr;nat;sir;reg;dep;reg_diff;dep_diff;COMINSEE;NOMCOM;ARMT;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3;VAL;RESPREG
ID;2021;010000024;CH DE FLEYRIAT;;010780054;04;13;1;355;PUB2;1;0;;0;26010004500012;84;01;84;01;01451;VIRIAT;;0;;6;010780054;1;1;900;RTE;DE PARIS;;01440;VIRIAT;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2021;010000032;CH BUGEY SUD;;010780062;04;13;1;355;PUB2;1;0;;0;26010003700019;84;01;84;01;01034;BELLEY;;0;;6;010780062;1;1;700;AV;DE NARVIK;BP 139;01300;BELLEY;;;;;;;;;;;;;;;;;;;260100037;26010003700068;;;0;0;;;;;;;;;;P;184
ID;2021;010000065;CH DE TREVOUX - MONTPENSIER;;010780096;04;13;1;355;PUB2;1;0;;0;26010028400017;84;01;84;01;01427;TREVOUX;;0;;6;010780096;1;1;14;R;DE L'HOPITAL;BP 615;01606;TREVOUX CEDEX;;;;;;;;;;;;;;;;;;;;26010028400017;;;;0;;;;;;;;;;P;184
ID;2021;010000081;CH DU PAYS DE GEX;;010780112;04;13;1;106;PUB2;1;0;;0;26010010200011;84;01;84;01;01173;GEX;;0;;6;010780112;1;1;160;R;MARC PANISSOD;BP 437;01174;GEX CEDEX;;;;;;;;;;;;;;;;;;;260100102;26010010200011;;;0;0;;;;;;;;;;P;184
ID;2021;010000099;CH DE MEXIMIEUX;;010780120;04;13;1;106;PUB2;1;0;;0;26010013600019;84;01;84;01;01244;MEXIMIEUX;;0;;6;010780120;1;1;13;AV;DU DOCTEUR BOYER;;01800;MEXIMIEUX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2021;010000107;CH DE PONT DE VAUX;;010780138;04;13;1;106;PUB2;1;0;;0;26010020100052;84;01;84;01;01305;PONT DE VAUX;;0;;6;010780138;1;1;279;CHE;DES NIVRES;BP 55;01190;PONT DE VAUX;;;;;;;;;;;;;;;;;;;;26010020100052;;;0;0;;;;;;;;;;P;184
ID;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;;010009132;04;14;1;355;PUB2;1;0;;0;20003004700019;84;01;84;01;01306;PONT DE VEYLE;;0;;6;010009132;2;1;;R;PIERRE GOUJON;BP 68;01290;PONT DE VEYLE;;;;;010784429;EHPAD SITE DE PONT DE VEYLE;010001436;SSIAD SITE PONT DE VEYLE;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;;010009132;04;14;1;355;PUB2;1;0;;0;20003004700076;84;01;84;01;01420;THOISSEY;;0;;6;010009132;2;1;11;R;DE L HOPITAL;;01140;THOISSEY;;;;;010784437;EHPAD DU CHAVS SITE THOISSEY;;;;;;;;;;;;;200030047;20003004700019;;;0;0;;;;;;;;;;P;184
ID;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200044;84;01;84;01;01185;PLATEAU D HAUTEVILLE;;0;;6;010007987;2;1;;AV;FELIX MANGINI;BP 41;01110;PLATEAU D HAUTEVILLE;;;;;;;;;;;;;;;;;;;260110192;26011019200010;;;0;0;;;;;;;;;;P;184
ID;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200051;84;01;84;01;01185;PLATEAU D HAUTEVILLE;;0;;6;010007987;2;1;;AV;FELIX MANGINI;BP 41;01110;PLATEAU D HAUTEVILLE;;;;;;;;;;;;;;;;;;;260110192;26011019200010;;;0;0;;;;;;;;;;P;184
ID;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200028;84;01;84;01;01185;PLATEAU D HAUTEVILLE;;0;;6;010007987;2;1;;AV;FELIX MANGINI;BP 41;01110;PLATEAU D HAUTEVILLE;;;;;;;;;;;;;;;;;;;260110192;26011019200010;;;0;0;;;;;;;;;;P;184
ID;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;;010783009;15;61;3;292;PNL3;6;1;1;0;77554456200108;84;01;84;01;01053;BOURG EN BRESSE;;0;;6;;1;1;;AV;DE MARBOZ;;01012;BOURG EN BRESSE CEDEX;;0;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;P;184
ID;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;;750056335;09;95;2;109;PLU8;0;4;5;0;34117411801162;84;01;84;01;01053;BOURG EN BRESSE;;0;;6;;1;1;554;R;LEOPOLD LE HON;;01000;BOURG EN BRESSE;;1;341174118;SAS MEDICA;;;;;;;;;;;;;;;341174118;;;;0;0;;;;;;;;;;P;184
ID;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;;010008407;04;14;1;355;PUB2;1;0;;0;26011021800088;84;01;84;01;01283;OYONNAX;;0;;8;010008407;1;;1;Route;DE VEYZIAT;CS 20100;01117;OYONNAX CEDEX;;;;;010005189;GIE IMAGERIE MEDICALE;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;;010010718;09;95;2;127;PLU10;0;4;5;0;44453276600011;84;01;84;01;01004;AMBERIEU EN BUGEY;;;;6;;1;1;;EN;PRAGNAT NORD;;01500;AMBERIEU EN BUGEY;;1;880511118;ELSAN SANTE HOLDING;;;;;;;;;;;;;;;811571447;;;;;0;;;;;;;;;;P;184
ID;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;;690796552;07;60;3;146;PNL5;6;4;1;0;30690522500406;84;01;84;01;01283;OYONNAX;;0;;6;690796552;1;1;2;RTE;DE VEYZIAT;;01100;OYONNAX;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;;010007292;09;95;2;128;PLU4;0;4;5;0;42111199800033;84;01;84;01;01313;PREVESSIN MOENS;;;;6;;2;1;180;RTE;DU NANT;;01280;PREVESSIN MOENS;CENTRE MEDICAL EUROPA;1;790763064;ONO HOLDING;;;;;;;;;;;;;;;;42111199800033;;;0;0;;;;;;;;;;P;184
