BOR;AN;FI;RS;FI_EJ;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTINT
IMAGES;2021;010000024;CH DE FLEYRIAT;010780054;IRM;2;2;1866;24;;7914;
IMAGES;2021;010000024;CH DE FLEYRIAT;010780054;RADIO;4;4;14680;10;;20537;1
IMAGES;2021;010000024;CH DE FLEYRIAT;010780054;SCAN;2;2;7650;132;;7713;1
IMAGES;2021;010000024;CH DE FLEYRIAT;010780054;VASC;1;1;;;;;
IMAGES;2021;010000024;CH DE FLEYRIAT;010780054;dtIRM2;1;1;268;1;;1908;
IMAGES;2021;010000032;CH BUGEY SUD;010780062;MAMM;1;1;;;;1080;
IMAGES;2021;010000032;CH BUGEY SUD;010780062;RADIO;2;2;1308;0;0;11363;1
IMAGES;2021;010000032;CH BUGEY SUD;010780062;SCAN;1;1;1435;0;0;9185;1
IMAGES;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;RADIO;1;1;1337;;31;;
IMAGES;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;RADIO;1;1;2479;;;;
IMAGES;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;VASC;1;;;;;;
IMAGES;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;IRM;1;1;71;;;676;
IMAGES;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;RADIO;3;3;1849;;;15377;0
IMAGES;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SCAN;1;1;1202;;;2805;0
IMAGES;2021;010780195;CLINIQUE CONVERT;010000156;CAM;2;;;;;;
IMAGES;2021;010780195;CLINIQUE CONVERT;010000156;IRM;1;;;;;;
IMAGES;2021;010780195;CLINIQUE CONVERT;010000156;RADIO;2;;;;;;
IMAGES;2021;010780195;CLINIQUE CONVERT;010000156;SCAN;1;;;;;;
IMAGES;2021;010780195;CLINIQUE CONVERT;010000156;TOMO;1;;;;;;
IMAGES;2021;010780195;CLINIQUE CONVERT;010000156;VASC;1;;;;;;
IMAGES;2021;020000089;CH GUISE;020000022;RADIO;1;1;747;160;0;3778;0
