BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2021;010000024;CH DE FLEYRIAT;010780054;M1160;1;8;1.11;0;1;0;0
IMAGES_P;2021;010000024;CH DE FLEYRIAT;010780054;MAUT;;1;0.15;;;;
IMAGES_P;2021;010000024;CH DE FLEYRIAT;010780054;N4130;12;9;16.03;;;;
IMAGES_P;2021;010000024;CH DE FLEYRIAT;010780054;N4160;;;0.5;;;;
IMAGES_P;2021;010000024;CH DE FLEYRIAT;010780054;NAUT;11;9;14.66;;;;
IMAGES_P;2021;010000032;CH BUGEY SUD;010780062;M1160;1;;1;;;1;1
IMAGES_P;2021;010000032;CH BUGEY SUD;010780062;N4130;6;3;7.66;;;;
IMAGES_P;2021;010000032;CH BUGEY SUD;010780062;NAUT;5;;5.04;;;;
IMAGES_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1160;;1;0.6;0;0;0;0
IMAGES_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N4130;;2;0.9;;;;
IMAGES_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;1;;1;;;;
IMAGES_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N4130;;3;2.68;0;0;;
IMAGES_P;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;N4160;1;;1;;;;
IMAGES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1160;2;1;2.49;0;1;1;0
IMAGES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N4130;8;1;7.59;;;;
IMAGES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;3;1;3.72;;;;
IMAGES_P;2021;020000089;CH GUISE;020000022;N4130;0;1;0.8;0;0;;
IMAGES_P;2021;020000089;CH GUISE;020000022;N4160;1;0;1;;;;
IMAGES_P;2021;020000089;CH GUISE;020000022;NAUT;2;0;1.5;;;;
IMAGES_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1160;4;8;6.7;1;0;1;1
IMAGES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N4130;20;3;21.05;;;;
IMAGES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N4160;1;0;1;;;;
IMAGES_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;8;12;12.58;;;;
IMAGES_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;M1160;;1;0.11;0;0;0;1
IMAGES_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;N4130;1;;1;0;0;;
IMAGES_P;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;NAUT;1;;1;;;;
IMAGES_P;2021;020000394;CH LAON;020000253;M1160;2;2;3.03;0;1;;
IMAGES_P;2021;020000394;CH LAON;020000253;N4130;14;5;17.2;;1;;
IMAGES_P;2021;020000394;CH LAON;020000253;N4160;0;0;0.13;;;;
IMAGES_P;2021;020000394;CH LAON;020000253;NAUT;8;2;10.4;;;;
IMAGES_P;2021;020000519;CH SOISSONS;020000261;M1160;7;2;7.52;0;1;0;0
IMAGES_P;2021;020000519;CH SOISSONS;020000261;N4130;11;3;14.48;0;1;;
IMAGES_P;2021;020000519;CH SOISSONS;020000261;N4160;;1;0.8;;;;
IMAGES_P;2021;020000519;CH SOISSONS;020000261;NAUT;7;;7.42;;;;
IMAGES_P;2021;020000535;CH CHAUNY;020000287;M1160;;4;0.6;0;0;0;0
IMAGES_P;2021;020000535;CH CHAUNY;020000287;N4130;6;5;10;0;1;;
IMAGES_P;2021;020000535;CH CHAUNY;020000287;N4160;1;;1;;;;
IMAGES_P;2021;020000535;CH CHAUNY;020000287;NAUT;3;6;4.91;;;;
IMAGES_P;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;M1160;;1;0.2;0;0;0;0
IMAGES_P;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;N4130;1;0;1;0;0;;
IMAGES_P;2021;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;N4130;;1;0.8;0;0;;
IMAGES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;M1160;1;3;2.27;0;1;1;1
IMAGES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N4130;14;2;14.84;1;0;;
IMAGES_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;NAUT;10;2;10.7;;;;
IMAGES_P;2021;020001087;CH HIRSON;020004495;M1160;;5;1.5;;;;
IMAGES_P;2021;020001087;CH HIRSON;020004495;N4130;4;1;5.19;;;;
IMAGES_P;2021;020001087;CH HIRSON;020004495;NAUT;4;;3.33;;;;
IMAGES_P;2021;030000061;CH DE MOULINS;030780092;M1160;3;0;3;0;1;0;0
IMAGES_P;2021;030000061;CH DE MOULINS;030780092;N4130;14;6;16.42;1;0;;
IMAGES_P;2021;030000061;CH DE MOULINS;030780092;N4160;1;0;0.74;;;;
IMAGES_P;2021;030000061;CH DE MOULINS;030780092;NAUT;7;2;7.86;;;;
IMAGES_P;2021;030000079;CH DE MONTLUCON;030780100;M1160;1;4;4.72;0;1;0;0
IMAGES_P;2021;030000079;CH DE MONTLUCON;030780100;M1210;1;;1.9;0;0;;
IMAGES_P;2021;030000079;CH DE MONTLUCON;030780100;N4130;15;7;20.54;0;1;;
IMAGES_P;2021;030000079;CH DE MONTLUCON;030780100;N4160;1;;1;;;;
IMAGES_P;2021;030000079;CH DE MONTLUCON;030780100;NAUT;15;1;13.24;;;;
IMAGES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1160;7;1;7.1;;1;;
IMAGES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;21;8;27.84;;;;
IMAGES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N4160;1;0;1;;;;
IMAGES_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;7;2;8.1;;;;
IMAGES_P;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1160;5;2;5;0;1;;
IMAGES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1160;0;6;3.21;;1;;
IMAGES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4130;7;0;6.99;;1;;
IMAGES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4160;1;0;0.98;;;;
IMAGES_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;3;1;3.79;;;;
IMAGES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M1160;;4;1.32;;;;
IMAGES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N4130;4;4;6.5;0;0;;
IMAGES_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;NAUT;;5;1.5;;;;
IMAGES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4130;10;1;10.97;1;0;;
IMAGES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4160;;1;0.03;;;;
IMAGES_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;3;4;4.56;;;;
IMAGES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M1160;1;2;2.4;;;;
IMAGES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N4130;10;3;10.87;;;;
IMAGES_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;1;1;1.23;;;;
IMAGES_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N4130;3;1;3.45;0;1;;
IMAGES_P;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NAUT;3;4;3.6;;;;
IMAGES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1160;3;4;5.55;;;;
IMAGES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N4130;13;13;22.29;;;;
IMAGES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N4160;1;;1;;;;
IMAGES_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;10;5;11.85;;;;
IMAGES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1160;9;4;5.59;;;;
IMAGES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;MAUT;1;0;0.26;;;;
IMAGES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4130;12;2;12.03;;;;
IMAGES_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;6;1;6.84;;;;
IMAGES_P;2021;060000486;CH SAINT ELOI DE SOSPEL;060780905;N4130;;1;0.6;0;0;;
IMAGES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1160;8;1;8.43;1;0;;
IMAGES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4130;31;1;31.64;;1;;
IMAGES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N4160;2;;2;;;;
IMAGES_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;37;2;35.92;;;;
IMAGES_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1160;9;2;8.69;;;;
IMAGES_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1210;8;1;7.53;;;;
IMAGES_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;MAUT;9;1;1.63;;;;
IMAGES_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4130;27;2;27.58;;;;
IMAGES_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4160;2;0;1.51;;;;
IMAGES_P;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;NAUT;25;2;18.27;;;;
IMAGES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M1160;7;2;6.26;0;1;0;0
IMAGES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N4130;23;3;28.96;;;;
IMAGES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N4160;1;1;1.2;;;;
IMAGES_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;10;6;10.9;;;;
IMAGES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M1160;5;;4.47;0;1;1;1
IMAGES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N4130;15;3;11.65;1;1;;
IMAGES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N4160;;;0.26;;;;
IMAGES_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;4;;3.1;;;;
IMAGES_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;M1160;;1;0.2;;;;
IMAGES_P;2021;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4130;1;;1;0;0;;
IMAGES_P;2021;060780459;CRF ORSAC MONT FLEURI;010783009;N4130;;1;0.23;0;0;;
IMAGES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;M1160;;14;3;0;1;0;0
IMAGES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;N4130;14;;14;0;1;;
IMAGES_P;2021;060780715;CLINIQUE SAINT GEORGE;060000361;NAUT;10;;8;;;;
IMAGES_P;2021;060780756;POLYCLINIQUE SANTA MARIA;060000403;N4130;3;;2.21;;;;
IMAGES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M1160;3;6;5.85;0;1;1;1
IMAGES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N4130;20;1;11.62;0;1;;
IMAGES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N4160;;1;0.5;;;;
IMAGES_P;2021;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;NAUT;8;2;6.51;;;;
IMAGES_P;2021;060780996;CHS SAINTE MARIE NICE;630786754;M1160;;1;0.2;0;0;0;0
