BOR;AN;FI;RS;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2021;010000024;CH DE FLEYRIAT;010780054;1;;;1;;;1;;;;;;0;0;0;;0;1;0;0;1;0;;4.95;0.8
INFOMED;2021;010000032;CH BUGEY SUD;010780062;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;0;1;730000015;2.71;0.05
INFOMED;2021;010000081;CH DU PAYS DE GEX;010780112;;;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;740000237;;0.01
INFOMED;2021;010000099;CH DE MEXIMIEUX;010780120;;;1;;;;;;1;;;;0;0;0;1;1;0;0;0;0;0;;;
INFOMED;2021;010000107;CH DE PONT DE VAUX;010780138;;1;;;;;;1;;;;;0;0;0;1;1;0;;;0;0;;0.2;0.1
INFOMED;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;1;;;;;;1;;;;;0;0;1;1;1;0;;;0;1;690000583;0.4;
INFOMED;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;;1;;;;;;;;;1;;0;0;1;1;1;0;;;0;1;690000583;0.4;
INFOMED;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;1;010008407;1.8;0.2
INFOMED;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;;1;010008407;1.8;0.2
INFOMED;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;;;;1;;;0;0;0;0;0;0;;;0;0;;3.5;1.16
INFOMED;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;;;;;;;;;1;;;;0;0;0;0;0;0;1;0;0;0;;1;0.2
INFOMED;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;1;0;;2;0.65
INFOMED;2021;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;;;;1;;;;;;;;0;0;0;0;0;0;;;1;0;;0.25;0.05
INFOMED;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;1;010780252;0.05;0.01
INFOMED;2021;010010171;CLINIQUE DE CHATILLON;010011559;;;;;;;;;;;1;;0;0;0;0;0;0;0;0;0;1;920030269;0.3;0.1
INFOMED;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;;;;1;;;;;;0;1;1;0;0;0;0;0;0;0;;;
INFOMED;2021;010780195;CLINIQUE CONVERT;010000156;;1;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;;2;0.3
INFOMED;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;;2;0.07
INFOMED;2021;010780252;CRF L'ORCET;010783009;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.4;0.08
INFOMED;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;;;;;;;;;1;;;;;;;;;0;0;0;0;1;010780252;0.32;0.08
INFOMED;2021;010780294;NEPHROCARE CH BELLEY;690000278;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;690780499;;1
INFOMED;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;1;;;;;0;0;0;0;0;1;0;0;0;0;;1;0.05
INFOMED;2021;010780492;CRF ROMANS-FERRARI;360000707;;;;;;;;;1;;;;0;0;0;0;0;0;;;0;0;;0.8;0
INFOMED;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;;;;;;;;1;;;;;1;1;0;0;0;0;0;0;0;0;;0.5;0.1
INFOMED;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;;;;;;;;1;;;;;0;0;0;1;1;1;1;0;0;1;750721334;;
INFOMED;2021;020000089;CH GUISE;020000022;;;1;;1;;;;1;;;;0;0;0;0;0;1;0;0;1;0;;2;0.1
INFOMED;2021;020000097;CH LA FÈRE;020000048;;;1;;;;;;1;;;;0;0;0;0;0;1;1;0;0;0;;0.15;0.4
INFOMED;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;1;;;1;;;1;;;;0;0;0;0;0;0;;;0;1;020004495;0.08;0.25
INFOMED;2021;020000162;CH SAINT-QUENTIN;020000063;;1;;;;;1;;;1;;;0;0;0;0;0;0;0;0;0;0;;5.72;1.15
INFOMED;2021;020000246;CH VERVINS;020000071;;;1;;;;;;1;;;;0;0;0;0;0;0;;;0;;;;
INFOMED;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;;;;1;;;;;;0;0;0;1;0;1;1;0;0;0;;4;0.2
INFOMED;2021;020000360;CLINIQUE COURLANCY SOISSONS;020014742;;;1;;;;;;;;;;0;0;0;0;0;1;1;0;0;1;;1;
