BOR;AN;FI;RS;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM
MCO;2021;010000024;CH DE FLEYRIAT;010780054;270;98744;12389;935;86376;68;22195;4781;1403;16337;47;17155;3783;830;12094;385;138094;20953;3168;114807;22;3017;;;40018;20;3394;;0;;;42;6411;;;40018;1;1;1;1;1;1;1;1;1;90;85;70;;96619;5072;65198;952;8714;10836
MCO;2021;010000032;CH BUGEY SUD;010780062;66;24090;3878;643;18194;17;6205;923;47;4040;8;2920;548;136;1497;91;33215;5349;826;23731;4;148;0;;1208;5;1398;0;0;0;;9;1546;0;;1208;1;1;1;1;1;1;1;1;0;0;78;18;;18388;1354;20473;0;2040;5949
MCO;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;59;21535;1640;13;16718;;;0;0;0;;;0;0;0;59;21535;1640;13;16718;;0;;;0;;0;;0;;;;0;;;0;;;1;;;;1;;;;;;;;;;;;
MCO;2021;010000099;CH DE MEXIMIEUX;010780120;9;3285;198;0;3541;;;0;0;0;;;0;0;0;9;3285;198;0;3541;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;
MCO;2021;010000107;CH DE PONT DE VAUX;010780138;15;5475;209;2;2531;;;0;0;0;;;0;0;0;15;5475;209;2;2531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;12;4380;92;0;2234;;;0;0;0;;;0;0;0;12;4380;92;0;2234;0;0;;;0;;0;;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
MCO;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;8;2920;129;0;2103;0;0;0;0;0;0;0;0;0;0;8;2920;129;0;2103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
MCO;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;8;2920;259;2;2167;0;0;0;0;0;0;0;0;0;0;8;2920;259;2;2167;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
MCO;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;16;5840;302;5;3929;0;;0;0;0;0;;0;0;0;16;5840;302;5;3929;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;1;0;;;;;1020;;;;;254
MCO;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;70;25550;3952;312;21363;26;9490;1029;64;4302;18;6570;989;182;2918;114;41610;5970;558;28583;7;1022;0;0;243;7;1383;1;102;0;0;15;2507;0;0;243;1;1;1;1;1;1;1;1;1;30;180;30;130;23173;4668;25642;435;4495;6452
