BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23
ORG;2021;010000024;CH DE FLEYRIAT;010780054;;;;2;C;B;;;;;;;1;D;;;;;;;;352;C;D;;;;;;;;;;
ORG;2021;010000032;CH BUGEY SUD;010780062;0;;;2;A;B;0;;;0;;;1;A;;2;A;B;0;;;25;C;;1;C;;1;1;SAVOIE BELLEY;;;;
ORG;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;;;;;;;;;;;;;;;;1;A;;;;;1;C;;;;;;;;;;;
ORG;2021;010000081;CH DU PAYS DE GEX;010780112;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;0;;;;;;
ORG;2021;010000107;CH DE PONT DE VAUX;010780138;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;;1;C;;;;;;;;2;A;A;;;;;;;1;C;;;;;;;;;;;
ORG;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;;1;C;;;;;;;;2;A;A;;;;;;;1;C;;;;;;;;;;;
ORG;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;;;;;;;
ORG;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;;1;C;;;;;;;;;;;;;;;;;3;D;C;;;;;;;;;;
ORG;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;
ORG;2021;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;;;;;;;;;;;;;;;;;;;;2;C;C;;;;0;;;;;;
ORG;2021;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;;;;;;;;;;;;;;;;3;C;D;;;;0;;;;;;
ORG;2021;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;010010171;CLINIQUE DE CHATILLON;010011559;2;;;0;;;0;;;0;;;0;;;0;;;0;;;3;C;D;0;;;0;;;;;;
ORG;2021;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;010780195;CLINIQUE CONVERT;010000156;;;;;;;;;;;;;;;;2;A;;;;;;;;;;;0;;;;;;
ORG;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;
ORG;2021;010780252;CRF L'ORCET;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;010780278;CENTRE DE REEDUCATION MANGINI;010783009;;;;1;C;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;010780294;NEPHROCARE CH BELLEY;690000278;;;;;;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;
ORG;2021;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;;;;;;;;;;;;;;;6;C;;1;E;;0;;;;;;
ORG;2021;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;RHÔNE NORD BEAUJOLAIS DOMBES;;;;
ORG;2021;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;020000089;CH GUISE;020000022;;;;;;;;;;;;;;;;;;;;;;150;A;C;;;;;;;;;;
ORG;2021;020000097;CH LA FÈRE;020000048;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;;;;;;;;;;;;;;;;;;;;103;C;;;;;;;;;;;
ORG;2021;020000162;CH SAINT-QUENTIN;020000063;;;;3;D;;;;;;;;;;;;;;1;C;;263;C;A;;;;;;;;;;
ORG;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;2;A;D;;;;;;;2;A;B;;;;;;;70;C;A;8;C;A;0;;;;;;
ORG;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;0;;;0;;;0;;;0;;;0;;;1;A;;0;;;0;;;0;;;1;1;AISNE SUD- SAPHIR;;;;
ORG;2021;020000394;CH LAON;020000253;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;
ORG;2021;020000519;CH SOISSONS;020000261;;;;2;D;;;;;;;;;;;10;D;;;;;163;C;A;;;;0;;;;;;
ORG;2021;020000535;CH CHAUNY;020000287;;;;5;D;A;;;;;;;2;B;A;2;D;A;;;;;;;;;;0;;;;;;
ORG;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;;;;1;B;;;;;1;E;;2;B;B;;;;;;;1;D;;;;;0;;;;;;
ORG;2021;020001061;CH CHÂTEAU-THIERRY;020004404;;;;;;;;;;;;;1;B;;;;;;;;2;A;D;;;;;;;;;;
ORG;2021;020001087;CH HIRSON;020004495;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;AISNE NORD;;;;
ORG;2021;020004297;HAD AMSAM SOISSONS;020005179;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;AISNE NORD;AISNE SUD- SAPHIR;;;
ORG;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;;;;1;B;;;;;;;;1;B;;;;;1;;;24;;;;;;0;;;;;;
ORG;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;020010310;SSR AURORE BUCY-LE-LONG;750719361;;;;;;;;;;;;;;;;;;;;;;22;C;A;;;;0;;;;;;
ORG;2021;020016341;SSR RENAISSANCE SOISSONS;750814030;;;;;;;;;;;;;;;;;;;;;;2;A;C;;;;0;;;;;;
ORG;2021;030000061;CH DE MOULINS;030780092;1;C;;4;A;C;;;;;;;;;;2;D;B;1;C;;180;A;C;;;;1;1;TERRITOIRES D'AUVERGNE;;;;
ORG;2021;030000079;CH DE MONTLUCON;030780100;;;;1;A;;;;;;;;;;;;;;;;;38;C;D;;;;;;;;;;
ORG;2021;030000087;CH JACQUES LACARIN VICHY;030780118;;;;3;D;G;;;;;;;1;A;;;;;1;C;;;;;;;;1;1;TERRITOIRES D'AUVERGNE;;;;
ORG;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;;;;30;A;C;;;;;;;4;A;;1;A;;;;;28;A;C;6;A;B;1;1;TERRITOIRES D'AUVERGNE;;;;
ORG;2021;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2021;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;1;1;TERRITOIRES D'AUVERGNE;;;;
ORG;2021;030008726;CTRE ONCO ST JEAN SITE MOULINS;180006496;;;;;;;;;;;;;;;;1;;;;;;9;;;;;;0;;;;;;
ORG;2021;030780548;POLYCLINIQUE LA PERGOLA;030000194;;;;;;;;;;;;;;;;;;;;;;14;C;D;;;;0;;;;;;
ORG;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;0;;;0;;;0;;;0;;;0;;;0;;;55;C;E;0;;;0;;;;;;
ORG;2021;030785430;POLYCLINIQUE SAINT-ODILON;030785422;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;;;;2;A;C;;;;;;;;;;2;D;;;;;60;A;C;;;;;;;;;;
ORG;2021;040000119;EPS LUMIERE DE RIEZ;040780231;;;;;;;;;;;;;;;;;;;;;;29;C;;;;;0;;;;;;
ORG;2021;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;040780249;;;;1;A;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;
ORG;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;3;C;D;;;;;;;1;A;;2;D;;4;C;;315;C;D;4;D;A;;;;;;;
ORG;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;1;A;;;;;;;;;;;2;D;;;;;37;C;D;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2021;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;D;;;;;0;;;;;;
ORG;2021;040780405;CENTRE DES CARMES;040000168;;;;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;
ORG;2021;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;;;;;;;;;;;;;;;;;;;;;;12;C;D;;;;0;;;;;;
ORG;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;1;C;;1;A;;;;;;;;;;;;;;;;;50;C;A;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;
ORG;2021;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;D;;;;;0;;;;;;
ORG;2021;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;D;;;;;0;;;;;;
ORG;2021;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;;;;1;D;;1;A;;;;;;;;;;;;;;10;C;;;;;1;1;ALPES DU SUD;;;;
ORG;2021;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;;;;1;D;;;;;;;;;;;;;;;;;3;A;;;;;0;;;;;;
ORG;2021;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;;;;;;;;;;;;;;;;;;;;;;2;C;D;;;;0;;;;;;
ORG;2021;050000132;CH BUECH DURANCE;050007145;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;;
ORG;2021;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;;;;;;;;;;;;;;;;;;;;;;3;A;;;;;0;;;;;;
ORG;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;;;;3;A;B;;;;;;;1;B;;3;D;B;1;C;;150;;;;;;;;;;;;
ORG;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;1;D;;;;;;;;;;;;;;1;C;;84;A;C;;;;;;;;;;
ORG;2021;050000298;LA GUISANE;050000496;0;;;0;;;0;;;0;;;0;;;0;;;0;;;3;C;C;0;;;0;;;;;;
ORG;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;;;;3;C;D;;;;;;;1;A;;2;D;;4;C;;315;C;D;4;D;A;;;;;;;
ORG;2021;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;;;;1;A;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;
ORG;2021;050000991;CENTRE MEDICAL CHANTOURS;050000546;1;D;;;;;;;;;;;;;;1;B;;;;;5;A;C;;;;0;;;;;;
ORG;2021;050001064;CENTRE MEDICAL LA DURANCE;050000561;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;0;;;;;;
ORG;2021;050002351;CENTRE RHONE AZUR GAP;130037815;;;;1;D;;1;A;;;;;;;;;;;;;;3;C;;;;;1;1;ALPES DU SUD;;;;
ORG;2021;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;
ORG;2021;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;;;;;;;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;
ORG;2021;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;060780327;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;;;;;;;;;;;;;;;;;;;;;;1;A;;;;;0;;;;;;
ORG;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;;;;;;;;;;3;A;D;;;;1;D;;;;;59;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060000486;CH SAINT ELOI DE SOSPEL;060780905;;;;;;;;;;;;;;;;;;;;;;10;A;D;;;;;;;;;;
ORG;2021;060000494;CH SAINT LAZARE DE TENDE;060780921;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;;;;1;A;;;;;;;;;;;1;D;;;;;15;C;C;3;C;;0;;;;;;
ORG;2021;060000528;CENTRE ANTOINE LACASSAGNE;060780962;;;;1;C;;;;;4;A;E;1;E;;;;;1;D;;237;C;E;1;E;;1;1;ALPES MARITIMES;;;;
ORG;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;;;;2;A;D;;;;;;;;;;2;D;;1;D;;54;C;D;;;;0;;;;;;
ORG;2021;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;;;;;;;;;;;;;;;;;;;;;;2;C;C;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060002102;CH LA PALMOSA DE MENTON;060791761;;;;2;A;D;;;;;;;;;;;;;;;;16;C;D;;;;0;;;;;;
ORG;2021;060005469;L'OLIVERAIE DES CAYRONS;920030269;;;;;;;;;;;;;;;;;;;;;;;;;46;C;D;0;;;;;;
ORG;2021;060006558;HAD ARNAULT TZANCK;060798865;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;
ORG;2021;060010949;AGAHTIR UDM ANTIBES;060790540;;;;;;;;;;;;;;;;1;;;;;;3;C;;;;;0;;;;;;
ORG;2021;060019213;USLD DOLCE FARNIENTE;060005188;;;;;;;;;;;;;;;;;;;;;;1;D;;;;;0;;;;;;
ORG;2021;060021094;CLINIQUE VILLA ROMAINE;060024619;;;;1;D;A;;;;;;;;;;;;;;;;26;C;D;;;;0;;;;;;
