BOR;AN;FI;RS;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2021;010000024;CH DE FLEYRIAT;010780054;1;10;4;0;51;1;1;10;460;;;20;1;3947;35;21;2010;;5;2005;729;;22;56;;;;7;;9;;2;6;6;;4;;;;2;2.16;2.16;;9.63;;8.96;0.54;3.31;;;;;;;;;4;4;;3;;;2;1;1.85;1.85;;1.78;;;1.1;0.8
PALIA;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;0;;;;;1;1;10;157;;;;0;;;;;;;;;;;;1;;;;;;;;1;;;25;2;27;1;5;1.8;;0.6;9.21;0.7;7.33;0.5;1.09;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;10;10;;214;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;010780195;CLINIQUE CONVERT;010000156;1;4;;;82;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;020000089;CH GUISE;020000022;1;4;4;0;96;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PALIA;2021;020000097;CH LA FÈRE;020000048;1;8;;;167;1;1;8;167;;;;0;;;;;;;;;;;;1;;;3;3;7;;0;;;1;1;1;0;1;2;0.99;;0.38;3.77;3.77;6.89;0.28;1.12;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;1;6;2;;54;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;020000162;CH SAINT-QUENTIN;020000063;1;8;4;0;155;0;;;;;;;1;485;24;6;191;145;44;2;648;8;25;0;;;;;;;;1;1;1;;;;;;;0.4;0.4;;;;;;0.1;;;;2;;;1;;0;;1;;;;1;;0;;0.3;1.94;;;1.54;
PALIA;2021;020000246;CH VERVINS;020000071;0;;;;;0;;;;;;;1;337;9;5;302;221;78;0;51;;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;0.28;0.28;0.1;0.9;0.9;0.5;0.5;0.2
PALIA;2021;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1;8;8;;84;0;;;;;;;1;121;0;0;0;0;0;0;33;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;1;;;;;;;;;;0.2;0.2;0.1;;;;0.2;
PALIA;2021;020000394;CH LAON;020000253;1;7;;;27;0;;;;;;;1;4498;12;3;92;10;82;;214;;7;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;1;;;1;1;1;1;1;;;;;;0.11;0.11;0.2;0.25;;;1;1
PALIA;2021;020000519;CH SOISSONS;020000261;1;8;;;83;1;1;12;282;;;;1;636;;;;;;;388;;22;5;4;;;8;;7;;1;;;;4;;3;1;1;4;;;10.74;;9.63;0.1;1.84;;;;2;;;;;1;;;;;;;1;0.5;;;1.76;;;;1.44
PALIA;2021;020000535;CH CHAUNY;020000287;1;5;3;;14;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;020001061;CH CHÂTEAU-THIERRY;020004404;1;6;;;34;0;;;;;;;1;20;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;1;1;;0.1;0.1;;0.2;0.2;0.2;0.5;
PALIA;2021;020001087;CH HIRSON;020004495;1;6;;;1;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1;4;;;65;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;030000061;CH DE MOULINS;030780092;1;6;0;;45;0;;;;;;;1;2713;1;1;107;13;34;60;627;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;2;;0;0;0;1;;1;2;;0;1;2;0.25;;0.23;3.62;;0;0.32;0.8
PALIA;2021;030000079;CH DE MONTLUCON;030780100;1;8;0;0;158;0;;;;;;;1;4321;3;1;262;14;29;219;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;;;1;1;;;;;;;;;0.5;0.5;0.25;2;;;0.6;0.5
PALIA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;1;4;2;0;99;1;1;10;27;0;0;0;1;6348;22;1;783;347;251;185;588;0;66;9;;;0;4;;7;1;0;2;1;1;1;;2;0;0;1.5;0.9;0.3;0.77;;1.43;0.16;0;;;;;;;;;1;;;;;;;;0.5;;;;;;;
PALIA;2021;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1;1;1;0;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;7;0;0;91;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;6;;;112;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;1;1;2;0;0;1;1;0;0;0;1.16;0;0.2;2.91;2.91;0;0.64;1
PALIA;2021;040000119;EPS LUMIERE DE RIEZ;040780231;1;2;2;;183;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;10;4;0;22;0;;;;;;;1;618;11;2;657;0;180;477;325;0;20;2;;;;1;1;;1;1;1;1;1;1;1;;;1;0.63;0.63;0.1;1.57;1.57;;1.1;1.5;;;;1;1;;;;1;1;;;;;;2;0.27;0.27;;1;1;;;0.8
PALIA;2021;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;0;;;;;1;2;4;;1235;0;4;0;;;;;;;;;;;;1;1;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0.5;0.5;1;1;1;0;0.5;0;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;1;4;4;0;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;1;4;4;0;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;4;;;74;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;2;;;18;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;4;4;0;21;1;1;10;279;;;;1;4104;22;28;1093;342;220;531;846;;30;25;;;;3;;6;;2;9;;2;10;;7;2;;3.77;;0.13;9.41;;9.2;1;2;0;;0;1;;;0;0;7;;1;3;;;2;3;2.25;;0.08;2.94;;;1.3;1.8
PALIA;2021;050000991;CENTRE MEDICAL CHANTOURS;050000546;1;4;4;;59;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;050001064;CENTRE MEDICAL LA DURANCE;050000561;1;2;;;730;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;12;2;;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
