BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2021;010000024;CH DE FLEYRIAT;010780054;TYPE2;;1;35;9;6;;5;2836;399;260;21;151;11;0;0;1847;1;10645;3738;1315;0;6292;2071;9486;402;2585;7;2041;30;13;;2109;3126;6901;;98;0;1;516;530;367;31;;20;0;0
PERINAT;2021;010000032;CH BUGEY SUD;010780062;TYPE1;;0;8;0;0;0;2;461;55;0;0;0;0;0;0;347;4;1482;0;0;0;1172;350;1378;71;358;0;350;0;3;6;352;2049;1646;42;22;0;1;96;80;77;0;2;0;0;0
PERINAT;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;TYPE1;;;18;0;0;0;3;941;145;0;0;0;0;0;0;668;5;2900;0;0;0;2294;671;2625;120;595;0;671;0;5;;672;4174;7074;7;24;0;1;102;82;93;1;;2;0;0
PERINAT;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;TYPE1;;;15;;;;4;875;55;0;0;0;0;0;0;667;198;3053;0;0;0;1630;674;2687;179;882;0;670;4;14;;683;;;;20;0;1;2;1;0;0;;0;0;0
PERINAT;2021;020000162;CH SAINT-QUENTIN;020000063;TYPE2;;;28;9;6;;5;2052;132;403;23;344;19;0;0;1385;0;7126;1812;1921;0;4150;1619;6276;298;1344;5;1599;20;5;;1656;8326;2852;164;137;0;1;410;432;309;23;;5;0;0
PERINAT;2021;020000394;CH LAON;020000253;TYPE2;;;18;6;;;3;1073;85;207;8;0;0;0;0;627;2;4011;1390;0;0;2358;765;3573;177;1022;0;755;10;4;;785;4859;5634;;3;0;1;257;244;192;15;;0;0;0
PERINAT;2021;020000519;CH SOISSONS;020000261;TYPE2;;0;18;6;4;;3;1345;115;260;9;64;12;0;0;812;0;4950;1813;356;0;2939;969;4329;155;887;0;953;16;2;;986;8745;1955;;15;0;1;292;293;257;9;2;1;0;0
PERINAT;2021;020000535;CH CHAUNY;020000287;TYPE1;;0;16;;;;3;699;68;0;0;0;0;0;0;529;12;2038;0;0;0;1558;525;1781;132;535;0;522;3;12;15;531;8594;2846;326;80;0;1;195;193;129;9;;0;0;0
PERINAT;2021;020001061;CH CHÂTEAU-THIERRY;020004404;TYPE2;;;15;6;;;3;908;193;145;6;0;0;0;0;479;1;2814;678;0;0;1673;564;2382;122;621;1;557;7;4;;576;7246;3347;596;15;0;1;222;226;185;6;;0;0;0
PERINAT;2021;020001087;CH HIRSON;020004495;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;825;1574;123;0;0;0;0;0;0;0;;0;0;0
PERINAT;2021;030000061;CH DE MOULINS;030780092;TYPE2;;0;20;6;0;0;4;1318;172;188;13;0;0;0;0;845;2;4638;1333;0;0;3048;978;4338;222;1232;0;966;12;5;;994;8356;7354;394;36;0;1;234;233;164;4;1;9;0;0
PERINAT;2021;030000079;CH DE MONTLUCON;030780100;TYPE2;;1;24;6;2;0;3;1287;113;146;5;34;7;0;0;849;0;4547;1438;159;0;2838;957;4007;157;871;1;948;9;10;10;972;333;1800;;22;1;1;280;258;207;14;;4;0;0
PERINAT;2021;030000087;CH JACQUES LACARIN VICHY;030780118;TYPE2;;0;18;6;0;0;3;1305;85;116;8;0;0;0;0;969;3;4801;1172;0;0;3454;1043;4338;243;1213;0;1037;6;6;;1059;16061;3057;491;19;0;1;162;195;61;16;2;2;0;0
PERINAT;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;2;5;0;2;0;3;0;0
PERINAT;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;TYPE1;;;18;;;;2;968;88;0;0;0;0;0;0;663;8;3260;0;0;0;2260;659;2673;118;654;0;658;1;6;;667;9271;6561;;92;0;1;132;170;107;0;;0;0;0
PERINAT;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TYPE1;;0;10;;;;2;669;151;0;0;0;0;0;0;339;5;1932;0;0;0;1177;366;1533;83;495;0;363;3;4;;374;1796;2026;;33;0;1;117;134;80;2;;2;0;0
PERINAT;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TYPE1;;;9;;;;2;477;70;0;0;0;0;0;0;322;2;1679;0;0;0;1195;342;1548;81;469;0;342;0;1;;342;;;;8;0;1;125;109;94;2;;2;0;0
