BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;M1030;;17;2.86;1;0;1;0
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;M1140;;3;1.5;1;0;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;M2050;;10;5.93;1;0;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;MIVG;;9;0.35;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;N2200;2;5;2.98;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;N2340;7;11;13.04;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;N2530;13;22;25.07;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;N2700;;1;0.7;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;N2800;12;31;27.65;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;N280H;10;31;25.65;;;;
PERINAT_P;2021;010000024;CH DE FLEYRIAT;010780054;NAUT;10;7;14.55;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;M1140;;1;0.5;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;M2050;;2;2.77;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;MAUT;;1;0.1;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;N2530;6;1;6;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;N2800;8;2;9.8;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;N280H;8;2;9.8;;;;
PERINAT_P;2021;010000032;CH BUGEY SUD;010780062;NAUT;4;;3.49;;;;
PERINAT_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1030;1;4;5;1;0;0;
PERINAT_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M1140;1;3;0.5;0;1;;
PERINAT_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M2050;3;0;3;0;1;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;5;;5;;;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1140;1;2;1.5;;;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M2050;5;1;5.2;;;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2530;8;6;11.21;;;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2800;10;5;11.47;;;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N280H;5;;5;;;;
PERINAT_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;1;;0.75;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1030;1;;1;1;0;0;0
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1140;6;2;6.8;1;0;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;M2050;5;2;6.4;1;0;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;MIVG;;1;0.2;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2200;13;8;18.7;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2340;13;6;16.61;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2530;11;4;11.64;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2700;2;0;2;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2800;;2;1;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;N280H;;2;1;;;;
PERINAT_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;19;8;23.56;;;;
PERINAT_P;2021;020000394;CH LAON;020000253;M1140;0;5;3.59;0;0;;
PERINAT_P;2021;020000394;CH LAON;020000253;M2050;5;3;5.62;1;0;;
PERINAT_P;2021;020000394;CH LAON;020000253;N2200;14;0;14.28;;;;
PERINAT_P;2021;020000394;CH LAON;020000253;N2340;0;1;0.22;;;;
PERINAT_P;2021;020000394;CH LAON;020000253;N2530;8;0;8;;;;
PERINAT_P;2021;020000394;CH LAON;020000253;N2700;0;1;0.43;;;;
PERINAT_P;2021;020000394;CH LAON;020000253;N2800;14;7;18.47;;;;
PERINAT_P;2021;020000394;CH LAON;020000253;NAUT;12;3;12.66;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;M1030;1;;1;1;0;0;0
PERINAT_P;2021;020000519;CH SOISSONS;020000261;M1140;4;3;5.7;1;0;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;M2050;7;1;7.8;0;1;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;MIVG;2;;2;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;N2200;8;3;10.33;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;N2340;5;2;6.31;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;N2530;5;;5.42;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;N2700;;;0.1;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;N2800;16;3;16.57;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;N280H;16;3;16.57;;;;
PERINAT_P;2021;020000519;CH SOISSONS;020000261;NAUT;14;8;19.16;;;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;M1030;;3;5.85;1;0;0;1
PERINAT_P;2021;020000535;CH CHAUNY;020000287;M1140;;2;1.13;0;1;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;M2050;;5;4.6;0;1;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;N2200;2;;2;;;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;N2340;2;;1.89;;;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;N2530;9;;8.81;;;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;N2800;10;1;10.14;;;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;N280H;10;1;10.14;;;;
PERINAT_P;2021;020000535;CH CHAUNY;020000287;NAUT;9;5;11.65;;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;;;0.75;1;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;M1140;;3;0.5;1;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;M2050;3;3;5.74;1;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;MIVG;;3;0.25;;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2200;1;2;2.4;;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2340;6;;6;;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2530;16;2;16.26;;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2700;1;;0.25;;;;
PERINAT_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2800;14;3;15.5;;;;
