BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_REE;HPLETP_EDU
PSY;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;GEN;;4;;;301;;;;;;107852;77;0;;2695;91209;;;;;;;7104;0;;;12;1;13;78226;6776;27546;6192;2646;3881;;11611;9792;1745;83;20;14;27.15;9;10;13.02;0;0;572;135;671.67;409.87;96.79;33.09;6.8;38.06;12;1;8.72;4;1;2.49;356;49;396.52;212.35;89.25;4.55;0;11.59
PSY;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;INF;;1;;;11;;;;;;4015;14;;;216;3545;;;;;;;1946;;;3;8;1;6;25718;1744;9259;29;73;555;756;3141;2859;139;;5;4;7.39;0;0;;0;0;85;68;128.5;63.07;4.96;24.74;12.23;14.37;3;0;1.4;0;0;;31;11;38.27;24.97;2.51;2.86;0.32;2.52
PSY;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;PEN;;;;;0;;;;;;;;;;;;;;;;;;;;;1;0;;1;4086;;854;;;;;866;838;;;6;0;0.61;0;0;;;;6;3;6.12;1.76;;4.37;;;0;0;0;0;0;;;;;;;;;
PSY;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;TOT;1;;6;1;312;;;;;;111867;91;0;;2911;94754;;;;;;;9050;0;;4;20;2;20;108030;8520;37659;6221;2719;4436;756;15311;13331;1867;83;25;18;35.15;9;10;13.02;;;652;205;806.29;474.7;101.75;62.2;19.03;52.43;15;1;10.12;4;1;2.49;385;60;434.79;237.32;91.76;7.41;0.32;14.11
PSY;2021;010010171;CLINIQUE DE CHATILLON;010011559;GEN;;;;;80;;;;20;;29200;20;4;;923;26603;;;;8258;;;1694;;;;;;;;;;;;;;1054;;865;;;6;;;2;0.38;0;0;48;15;45.19;20.26;14.85;6.5;2.05;1.5;;;;;;;;;;;;;;
PSY;2021;010010171;CLINIQUE DE CHATILLON;010011559;INF;;;;;15;;;;;;5475;;;;6;157;;;;0;;;;;;;;;;;;;;;;;6;;6;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;
PSY;2021;010010171;CLINIQUE DE CHATILLON;010011559;TOT;0;;;0;95;;;;20;;34675;20;4;;929;26760;;;;8258;;;1694;;;;;;;;;;;;;;985;;871;;;6;;;2;0.38;;;48;15;45.19;20.26;14.85;6.5;2.05;1.5;;;;;;;;;;;;;;
PSY;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;GEN;;;;;86;;;;;;31390;10;;;695;23909;;;;;;;1927;;;;;;;;;;;;;;537;;438;10;5;0;5;;2;0.5;0;0;67;38;57.07;22.51;6.31;1.67;;1.42;;;;;;;;;;;;;;
PSY;2021;020000386;CLINIQUE DE LA ROSERAIE;020000600;TOT;0;;;0;86;;;;;;31390;10;;;695;23909;;;;;;;1927;;;;;;;;;;;;;;537;;438;10;5;;5;;2;0.5;;;67;38;57.07;22.51;6.31;1.67;;1.42;;;;;;;;;;;;;;
PSY;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;GEN;;5;;;288;87;0;0;0;0;105120;52;0;0;2343;79877;27244;0;0;0;0;0;6403;0;0;1;6;25;2;52687;2580;8762;38180;1982;2130;6;7210;5637;1434;77;16;3;16.6;10;2;4.1;1;1;519;63;565.2;351;77.8;17.8;2.8;20.7;10;2;11;5;0;5;380;40;409.2;254.8;69;4;1.8;0
PSY;2021;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;INF;;3;;;24;4;;;0;0;7380;118;0;0;793;4405;257;;;0;0;0;11750;0;0;1;8;18;0;37903;2676;0;139;167;445;351;4160;3863;118;1;8;0;8;4;0;4;1;1;171;43;201;93.8;5.2;25.9;12.1;30.6;3;0;3;1;0;1;28;3;30.4;21.6;1;1;0;2.8
