BOR;AN;FI;RS;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;EFFSAL;ETPSAL;EFFLIB
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1010;8;7;3;11;;;5;9;8.42;12.02;;12.15;0.5;;1.7;6.09;29;20.44;14
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1020;2;;;;;;;;1.28;1.08;;1.08;;;1.17;0.11;2;2.36;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1030;7;3;1;5;;;;;8.06;6.81;;11.2;0.92;;1;1.75;16;14.87;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1031;3;1;1;1;;;;;3.68;2.43;;5.18;;;0.1;0.83;6;6.11;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1040;2;;2;2;;;;;1.62;0.91;;0.81;0.07;;1.33;0.32;6;2.53;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1050;;1;1;;;;;;0.4;1;;1;;;;0.4;2;1.4;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1070;;;1;;;;1;;1.15;0.59;;1.34;;;;0.4;1;1.74;1
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1090;4;1;1;;;;;;4.07;1;;4;1;;;0.07;6;5.07;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1100;2;;1;1;;;;;2;0.84;;0.75;;;1.09;1;4;2.84;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1110;2;1;;1;;;;;2;1.82;;3;;;0.4;0.42;4;3.82;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1120;6;1;;1;;;;;5.09;1.8;;6.47;;;0.42;;8;6.89;
Q20;2021;010000024;CH DE FLEYRIAT;010780054;M1130;2;3;;;;;;;1.17;3;;4;;;;0.17;5;4.17;
