BOR;AN;FI;RS;FI_EJ;DISCI;ETP_SAL;ETP_HU;ETP_MAD;ETP_INT;dtETP_STAG;EFF_LIB
Q21;2021;010000024;CH DE FLEYRIAT;010780054;1000;0.92;;;;;
Q21;2021;010000024;CH DE FLEYRIAT;010780054;2000;158.83;;4.8;64.85;4.46;17
Q21;2021;010000024;CH DE FLEYRIAT;010780054;2100;156.89;;4.8;64.6;4.46;17
Q21;2021;010000024;CH DE FLEYRIAT;010780054;2300;1.94;;;0.25;;
Q21;2021;010000024;CH DE FLEYRIAT;010780054;9999;159.75;;4.8;64.85;4.46;17
Q21;2021;010000032;CH BUGEY SUD;010780062;2000;34.01;;;6.33;;
Q21;2021;010000032;CH BUGEY SUD;010780062;2100;30.61;;;6.33;;
Q21;2021;010000032;CH BUGEY SUD;010780062;2400;3.4;;;;;
Q21;2021;010000032;CH BUGEY SUD;010780062;9999;34.01;;;6.33;;
Q21;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;1000;0.55;;;;;
Q21;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2000;16.75;;;0.95;;
Q21;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2100;13.95;;;0.55;;
Q21;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;2400;2.8;;;0.4;;
Q21;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;9999;17.3;;;0.95;;
Q21;2021;010000081;CH DU PAYS DE GEX;010780112;2000;2.17;0;;;;
Q21;2021;010000081;CH DU PAYS DE GEX;010780112;2400;1.15;0;;;;
Q21;2021;010000081;CH DU PAYS DE GEX;010780112;2500;1.02;0;;;;
Q21;2021;010000081;CH DU PAYS DE GEX;010780112;9999;2.17;0;;;;
Q21;2021;010000099;CH DE MEXIMIEUX;010780120;2000;0.91;;;;;
Q21;2021;010000099;CH DE MEXIMIEUX;010780120;2100;0.4;;;;;
Q21;2021;010000099;CH DE MEXIMIEUX;010780120;2400;0.51;;;;;
Q21;2021;010000099;CH DE MEXIMIEUX;010780120;9999;0.91;;;;;
Q21;2021;010000107;CH DE PONT DE VAUX;010780138;2000;2.08;;;;;
Q21;2021;010000107;CH DE PONT DE VAUX;010780138;2100;0.9;;;;;
Q21;2021;010000107;CH DE PONT DE VAUX;010780138;2400;1.18;;;;;
Q21;2021;010000107;CH DE PONT DE VAUX;010780138;9999;2.08;;;;;
Q21;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2000;2.48;;;;;
Q21;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2100;0.27;;;;;
Q21;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2400;1.26;;;;;
Q21;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;2500;0.95;;;;;
Q21;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;9999;2.48;;;;;
Q21;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;2000;1.88;;;;;
Q21;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;2100;0.86;;;;;
Q21;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;2400;1.02;;;;;
Q21;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;9999;1.88;;;;;
Q21;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;2000;2.72;;;;;
Q21;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;2100;0.1;;;;;
Q21;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;2400;2.62;;;;;
Q21;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;9999;2.72;;;;;
Q21;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2000;4.26;;;;;
Q21;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;2400;4.26;;;;;
Q21;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;9999;4.26;;;;;
Q21;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;2000;10.2;;;;;
Q21;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;2100;0.25;;;;;
Q21;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;2400;9.95;;;;;
Q21;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;9999;10.2;;;;;
Q21;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1000;5.43;;;;;
Q21;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;2000;42.74;9.92;;3.9;;
Q21;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;2200;42.74;9.92;;3.9;;
Q21;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;9999;48.17;9.92;;3.9;;
Q21;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;2000;6.29;0;0;0;0;2
Q21;2021;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;2400;6.29;0;0;0;0;2
