BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2021;010000024;010780054;1000;5.77;1.07;118.12;;124.96;10.13;59.75;3.33;64.99;31.22;1.41;3.18;1.17;175.18;0.97;5.63;6.6;6.73;199.75;513.22
Q24;2021;010000024;010780054;2000;;;119.52;;119.52;20.48;361.23;79.72;276.33;62.41;8.98;36.23;23.96;869.34;1.74;0.73;2.47;96;34.08;1121.41
Q24;2021;010000024;010780054;2100;;;116.97;;116.97;19.49;342.93;79.72;267.38;60.41;8.1;36.23;23.96;838.22;1.74;0.73;2.47;96;34.08;1087.74
Q24;2021;010000024;010780054;2300;;;2.55;;2.55;0.99;18.3;;8.95;2;0.88;;;31.12;;;;;;33.67
Q24;2021;010000024;010780054;9999;5.77;1.07;237.64;;244.48;30.61;420.98;83.05;341.32;93.63;10.39;39.41;25.13;1044.52;2.71;6.36;9.07;102.73;233.83;1634.63
Q24;2021;010000032;010780062;1000;1.8;;23.23;;25.03;0.86;8.53;0.89;5.74;12.79;0.85;0.19;0.53;30.38;0.02;;0.02;1.05;24.64;81.12
Q24;2021;010000032;010780062;2000;0.2;;34.84;;35.04;14.74;91.3;6.56;109.07;72.45;2.38;10.7;10.1;317.3;2.64;2.1;4.74;25.11;19.78;401.97
Q24;2021;010000032;010780062;2100;0.2;;33.68;;33.88;14.32;80.4;6.56;96.44;65.63;1.08;10.7;6.7;281.83;2;1.88;3.88;25.11;19.78;364.48
Q24;2021;010000032;010780062;2400;;;1.16;;1.16;0.42;10.9;;12.63;6.82;1.3;;3.4;35.47;0.64;0.22;0.86;;;37.49
Q24;2021;010000032;010780062;9999;2;;58.07;;60.07;15.6;99.83;7.45;114.81;85.24;3.23;10.89;10.63;347.68;2.66;2.1;4.76;26.16;44.42;483.09
Q24;2021;010000065;010780096;1000;0.62;;13.78;;14.4;1.75;3.38;;6.43;2.88;;;0.2;14.64;0.43;0.25;0.68;3.5;12.23;45.45
