BOR;AN;FI;RS;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2021;010000024;CH DE FLEYRIAT;010780054;REAADU;12;4380;755;772;47;4873;24;32;76;3;2;3.67;1;2;2.09;21;11;26.65;16;4;16.99;;;;1;1;2.14
REA;2021;010000024;CH DE FLEYRIAT;010780054;SITOT;6;2190;537;;;1841;;;;;;;;;;;;;;;;;;;;;
REA;2021;010000024;CH DE FLEYRIAT;010780054;SIUNV;6;2190;537;;;1841;;;;;8;1.4;;;;;;;;;;;;;;;
REA;2021;010000024;CH DE FLEYRIAT;010780054;SURVADU;6;2190;247;;;567;;;;3;2;2.44;;;;6;6;10.37;7;2;8.21;;;;;;
REA;2021;010000024;CH DE FLEYRIAT;010780054;SURVENF;4;1460;297;;;1342;;;;;10;0.83;;;;;;;;;;;;;;;
REA;2021;010000032;CH BUGEY SUD;010780062;SURVADU;4;1460;1098;;;1498;;;;;1;1.31;;;0.4;20;1;4.24;8;0;5.17;;;;;2;1.08
REA;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;SURVADU;3;1095;576;;;1201;;;;4;4;1;;;;;;;;;;;;;;;
REA;2021;010780195;CLINIQUE CONVERT;010000156;REAADU;10;3650;626;654;25;3460;14;31;182;9;3;11;1;4;0.98;23;3;20.37;7;9;8.21;;;0;1;0;1.02
REA;2021;010780195;CLINIQUE CONVERT;010000156;SITOT;8;2920;1111;;;1773;;;;;;;;;;;;;;;;;;;;;
REA;2021;010780195;CLINIQUE CONVERT;010000156;SURVADU;5;1825;1;;;4;;;;0;;2;;;;;;2;;;2;;;;;;
REA;2021;010780195;CLINIQUE CONVERT;010000156;USIC;8;2920;1111;;;1773;;;;9;1;9.5;;;;9;;8.8;;;;;;;;;
REA;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;SURVADU;6;2190;433;;;1705;;;;5;;5;;;;6;1;6.5;4;;4;;;;;;
REA;2021;020000162;CH SAINT-QUENTIN;020000063;AUTSI;0;0;54;;;405;;;;0;;;;;;;;;;;;;;;;;
REA;2021;020000162;CH SAINT-QUENTIN;020000063;REAADU;10;3650;365;382;11;4346;24;43;30;3;52;6.48;1;;1.18;26;5;26.44;25;;24.05;;;;1;5;6.28
REA;2021;020000162;CH SAINT-QUENTIN;020000063;SITOT;18;6570;1643;;;5144;;;;;;;;;;;;;;;;;;;;;
REA;2021;020000162;CH SAINT-QUENTIN;020000063;SIUNV;6;2190;527;;;1190;;;;;;;;;;1;12;6.15;;14;4.48;;;;;;
REA;2021;020000162;CH SAINT-QUENTIN;020000063;SURVADU;6;2190;236;;;1425;;;;3;;2.8;;;;;;;;;;;;;;;
REA;2021;020000162;CH SAINT-QUENTIN;020000063;USIC;12;4380;1062;;;3549;;;;3;;3;;;0.36;18;3;20.02;11;1;11.38;;;;2;4;4.33
REA;2021;020000394;CH LAON;020000253;REAADU;8;3200;293;302;9;3231;5;37;32;0;5;2.45;0;1;0.6;19;1;20.34;12;0;12.34;0;0;0;0;1;0.7
REA;2021;020000394;CH LAON;020000253;SITOT;6;2171;588;;;1516;;;;;;;;;;;;;;;;;;;;;
REA;2021;020000394;CH LAON;020000253;SURVADU;4;1011;67;;;264;;;;0;5;2.45;0;1;0.26;4;0;4.35;3;0;3;0;0;0;0;2;0.8
REA;2021;020000394;CH LAON;020000253;USIC;6;2171;588;;;1516;;;;0;6;2.2;0;0;0;7;1;7.85;3;0;3;0;0;0;0;1;0.6
REA;2021;020000519;CH SOISSONS;020000261;REAADU;8;2920;303;320;7;3297;12;38;31;6;1;6.9;;;;18;4;20.28;17;3;19.2;;1;0.2;2;1;2.9
REA;2021;020000519;CH SOISSONS;020000261;SITOT;12;4380;1137;;;2656;;;;;;;;;;;;;;;;;;;;;
REA;2021;020000519;CH SOISSONS;020000261;SIUNV;6;2190;514;;;1258;;;;4;;4;;1;0.5;4;;4;4;1;4.5;;;;;;
REA;2021;020000519;CH SOISSONS;020000261;SURVADU;4;1460;40;;;162;;;;6;1;6.9;;;;;;;;;;;;;;;
REA;2021;020000519;CH SOISSONS;020000261;USIC;6;2190;623;;;1398;;;;2;;2;;;;8;4;11.85;1;3;3.04;;;;2;1;2.1
REA;2021;020000535;CH CHAUNY;020000287;AUTSI;5;1825;66;;;653;;;;;;;;;;;;;;;;;;;;;
REA;2021;020000535;CH CHAUNY;020000287;SITOT;11;4015;509;;;2659;;;;;;;;;;;;;;;;;;;;;
REA;2021;020000535;CH CHAUNY;020000287;SURVADU;3;1095;66;;;565;;;;;3;0.9;;1;0.57;;20;8.4;;21;6.95;;;;;17;3.49
REA;2021;020000535;CH CHAUNY;020000287;USIC;6;2190;443;;;2006;;;;;2;0.95;;1;0.29;;18;4.55;;21;3.47;;;;;17;1.74
REA;2021;020001061;CH CHÂTEAU-THIERRY;020004404;REAADU;12;4380;373;387;7;3819;13;41;71;;;;1;;0.55;12;7;20.44;10;;10.9;;;;2;;1
REA;2021;020001061;CH CHÂTEAU-THIERRY;020004404;SITOT;3;1095;205;;;686;;;;;;;;;;;;;;;;;;;;;
REA;2021;020001061;CH CHÂTEAU-THIERRY;020004404;SURVADU;3;1095;234;;;1080;;;;;;;;;0.2;6;;6;5;;5;;;;;;0.5
REA;2021;020001061;CH CHÂTEAU-THIERRY;020004404;USIC;3;1095;205;;;686;;;;;;;;;0.2;6;;6;5;;5;;;;;;0.5
REA;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;AUTSI;4;1460;464;;;2812;;;;;;;;1;0.25;5;1;5.56;2;1;2.78;;;;;;
REA;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SITOT;4;1460;464;;;2812;;;;;;;;;;;;;;;;;;;;;
REA;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;SURVADU;12;4380;186;;;1351;;;;;;;;1;0.25;10;2;11.12;4;2;5.56;;;;;;
REA;2021;030000061;CH DE MOULINS;030780092;REAADU;10;4054;322;340;13;3580;3;43;43;3;2;4.49;1;0;0.69;22;5;23.57;17;5;18.02;0;0;0;2;0;2
REA;2021;030000061;CH DE MOULINS;030780092;SITOT;8;2920;503;;;1475;;;;;;;;;;;;;;;;;;;;;
REA;2021;030000061;CH DE MOULINS;030780092;SURVADU;2;436;41;;;140;;;;0;0;0;;;;;;;;;;;;;;;
REA;2021;030000061;CH DE MOULINS;030780092;USIC;8;2920;503;;;1475;;;;0;4;0.94;0;1;0.51;10;0;9.59;7;2;8.16;0;0;0;0;1;0.5
REA;2021;030000079;CH DE MONTLUCON;030780100;REAADU;8;2920;289;294;12;2868;11;43;30;5;;4.52;;;;25;2;25.59;12;2;15;;;;1;2;2.27
REA;2021;030000079;CH DE MONTLUCON;030780100;SITOT;10;3650;1179;;;3581;;;;;;;;;;;;;;;;;;;;;
REA;2021;030000079;CH DE MONTLUCON;030780100;SIUNV;4;1460;356;;;1124;;;;;;0.5;;;;6;;5.25;6;2;7.78;;;;;;
REA;2021;030000079;CH DE MONTLUCON;030780100;SURVADU;4;1460;10;;;43;;;;;;0.08;;;;1;;0.5;1;;0.3;;;;;;0.05
REA;2021;030000079;CH DE MONTLUCON;030780100;SURVENF;2;730;156;;;365;;;;;;0.25;1;;0.5;1;;1;2;;1.9;;;;;;0.4
REA;2021;030000079;CH DE MONTLUCON;030780100;USIC;6;2190;823;;;2457;;;;2;;1.24;;;;6;;5.45;5;;4.58;;;;;;
REA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;REAADU;10;3392;460;478;40;2687;5;44;60;5;2;6.3;1;0;0.99;18;0;17.25;10;0;10.01;0;0;0;1;1;1.75
REA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SITOT;4;1840;712;;;1139;;;;;;;;;;;;;;;;;;;;;
REA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SIUNV;0;95;32;;;54;;;;0;1;0.5;0;0;0;3;1;3.85;5;2;6.56;0;0;0;2;0;2
REA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SURVADU;2;732;105;;;273;;;;;;;0;0;0;4;0;3.99;3;0;2.99;0;0;0;0;0;0
REA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;SURVENF;4;1460;258;;;599;;;;;4;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2021;030000087;CH JACQUES LACARIN VICHY;030780118;USIC;4;1745;680;;;1085;;;;1;3;2.03;0;0;0;9;0;8.74;7;1;6.99;0;0;0;1;0;0.86
REA;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SURVADU;10;3036;1347;;;7881;;;;9;;9;1;;1;5;;5;4;;4;;;;;;
REA;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;SURVADU;8;2920;393;;;1952;;;;7;0;6.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;REAADU;6;2172;134;138;3;2031;5;61;13;1;3;3.46;0;1;0.68;12;4;13.71;6;2;7.24;1;1;0.18;1;1;0.73
REA;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;SURVADU;2;722;105;;;448;;;;1;1;1.15;0;1;0.22;4;1;4.57;2;1;2.41;0;1;0.06;0;1;0.24
