BOR;AN;FI;RS;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;M9999;;18;3.42;1;;23;4.29
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;MREG;;;;;;5;0.8
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;N1220;;;;;25;4;27.03
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;N2120;;1;0.37;;;1;0.37
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;N2223;5;9;10.41;;;;0.16
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;N2500;1;;1;;;;
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;N5140;8;;8;;;;
SMURSAMU_P;2021;010000024;CH DE FLEYRIAT;010780054;N9999;15;10;20.77;;25;5;27.56
SMURSAMU_P;2021;010000032;CH BUGEY SUD;010780062;M9999;7;2;3.89;;;;
SMURSAMU_P;2021;010000032;CH BUGEY SUD;010780062;N2120;2;0;0.68;1;;;
SMURSAMU_P;2021;010000032;CH BUGEY SUD;010780062;N2223;15;1;6.26;1;;;
SMURSAMU_P;2021;010000032;CH BUGEY SUD;010780062;N5140;7;;7.18;1;;;
SMURSAMU_P;2021;010000032;CH BUGEY SUD;010780062;N9999;24;1;14.12;;;;
SMURSAMU_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M9999;0;0;0;1;0;0;0
SMURSAMU_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M9999;9;;4.5;1;;;
SMURSAMU_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2120;;1;0.5;1;;;
SMURSAMU_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2223;4;;4.42;1;;;
SMURSAMU_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N5140;6;1;5.46;;;;
SMURSAMU_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N9999;10;2;10.38;;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;M9999;0;37;2;1;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;N1220;;5;0.58;1;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2120;0;1;0.11;1;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2223;;3;0.55;1;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2500;;6;1.76;;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;N5140;;3;1.94;1;;;
SMURSAMU_P;2021;020000162;CH SAINT-QUENTIN;020000063;N9999;0;18;4.98;1;;;
SMURSAMU_P;2021;020000394;CH LAON;020000253;M9999;0;14;5.38;1;20;4;4.2
SMURSAMU_P;2021;020000394;CH LAON;020000253;MREG;0;0;0;;1;0;1
SMURSAMU_P;2021;020000394;CH LAON;020000253;N1220;0;0;0;;15;2;17.46
SMURSAMU_P;2021;020000394;CH LAON;020000253;N2120;0;1;0.17;;0;0;0
SMURSAMU_P;2021;020000394;CH LAON;020000253;N2223;8;5;10.98;;1;0;1
SMURSAMU_P;2021;020000394;CH LAON;020000253;N5140;9;4;12.6;;1;;1
SMURSAMU_P;2021;020000394;CH LAON;020000253;N9999;17;10;24.09;1;19;3;19.96
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;M9999;3;;3;1;;;
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;N1220;;;;1;;;
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;N2120;;;;1;;;
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;N2223;3;6;5.68;1;;;
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;N2500;1;;1;;;;
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;N5140;4;;4.41;1;;;
SMURSAMU_P;2021;020000519;CH SOISSONS;020000261;N9999;8;6;11.1;1;;;
SMURSAMU_P;2021;020000535;CH CHAUNY;020000287;M9999;2;1;5.96;1;;;
SMURSAMU_P;2021;020000535;CH CHAUNY;020000287;N2223;4;;4.42;;;;
SMURSAMU_P;2021;020000535;CH CHAUNY;020000287;N2500;3;;3;;;;
SMURSAMU_P;2021;020000535;CH CHAUNY;020000287;N9999;7;1;7.62;;;;
SMURSAMU_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;;4;2.4;1;;;
SMURSAMU_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N1220;1;;1;;;;
SMURSAMU_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;1;;0.2;1;;;
SMURSAMU_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N2223;4;;2.57;1;;;
SMURSAMU_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N5140;5;;5;;;;
SMURSAMU_P;2021;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;11;;8.77;1;;;
SMURSAMU_P;2021;020001087;CH HIRSON;020004495;M9999;6;;6;1;;;
SMURSAMU_P;2021;020001087;CH HIRSON;020004495;N2120;;1;0.2;1;;;
SMURSAMU_P;2021;020001087;CH HIRSON;020004495;N2223;6;;6;1;;;
SMURSAMU_P;2021;020001087;CH HIRSON;020004495;N5140;6;;5.91;;;;
SMURSAMU_P;2021;020001087;CH HIRSON;020004495;N9999;12;1;12.11;1;;;
SMURSAMU_P;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;M9999;0;3;0.47;1;;;
SMURSAMU_P;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2120;1;0;0.25;1;;;
SMURSAMU_P;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N2223;6;0;0.1;1;;;
SMURSAMU_P;2021;020016366;SMUR CH SAINT-QUENTIN GUISE;020000063;N9999;7;0;0.35;1;;;
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;M9999;1;11;4.6;1;0;5;2.5
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;MREG;1;11;4.6;1;0;5;2.5
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;N1220;0;0;0;0;19;1;19.71
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;N2120;0;0;0;0;0;1;0.6
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;N2223;1;5;5.13;1;1;0;1
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;N5140;7;1;7.8;0;0;0;0
SMURSAMU_P;2021;030000061;CH DE MOULINS;030780092;N9999;8;6;12.93;1;20;2;21.31
SMURSAMU_P;2021;030000079;CH DE MONTLUCON;030780100;M9999;6;1;3.85;1;;;
SMURSAMU_P;2021;030000079;CH DE MONTLUCON;030780100;N1220;2;;1;1;;;
SMURSAMU_P;2021;030000079;CH DE MONTLUCON;030780100;N2120;2;;0.67;1;;;
SMURSAMU_P;2021;030000079;CH DE MONTLUCON;030780100;N2223;30;;8.62;1;;;
SMURSAMU_P;2021;030000079;CH DE MONTLUCON;030780100;N5140;8;;7;;;;
SMURSAMU_P;2021;030000079;CH DE MONTLUCON;030780100;N9999;40;;17.29;;;;
SMURSAMU_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;9;14;18.1;1;;;
SMURSAMU_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;0;1.5;1;;;
SMURSAMU_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2223;12;0;11.78;0;;;
SMURSAMU_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;9;0;9;;;;
SMURSAMU_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N5140;4;0;2.7;0;;;
SMURSAMU_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;26;0;24.98;1;;;
SMURSAMU_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M9999;6;7;1.04;;0;0;0
SMURSAMU_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;MREG;6;7;1.04;;0;0;0
SMURSAMU_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2223;2;1;0.83;;0;0;0
SMURSAMU_P;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N9999;2;1;0.83;;0;0;0
SMURSAMU_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M9999;;8;2.71;;;;
SMURSAMU_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2223;2;4;4.24;;;;
SMURSAMU_P;2021;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N9999;2;4;4.24;;;;
SMURSAMU_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M9999;1;13;3.36;1;1;10;4.28
SMURSAMU_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;MREG;;;;;1;10;4.28
SMURSAMU_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N1220;;;;;8;3;9.8
SMURSAMU_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2223;;15;1.51;1;;;
SMURSAMU_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N5140;6;1;7.2;1;;;
SMURSAMU_P;2021;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N9999;8;23;9.82;1;8;3;9.8
SMURSAMU_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M9999;;19;7.04;;;;
SMURSAMU_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N1220;;4;0.38;;;;
SMURSAMU_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2223;;15;5.85;;;;
SMURSAMU_P;2021;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N9999;;19;6.23;;;;
SMURSAMU_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;;26;9.57;;;13;4.65
SMURSAMU_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N1220;1;;0.05;;10;4;10.53
SMURSAMU_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;;;;;;;0.01
SMURSAMU_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2223;3;9;8.48;;;1;0.37
SMURSAMU_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;;;;;;1;0.45
SMURSAMU_P;2021;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;4;9;8.53;;10;6;11.81
SMURSAMU_P;2021;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;3;0;1.7;1;0;0;0
SMURSAMU_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M9999;8;;3.7;1;;;
SMURSAMU_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2223;5;1;5.9;0;;;
SMURSAMU_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N5140;6;;6;0;;;
SMURSAMU_P;2021;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N9999;11;1;11.9;0;;;
SMURSAMU_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;5;3;3.3;1;;;
SMURSAMU_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;;1;0.2;1;;;
SMURSAMU_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N2223;;13;5.84;1;;;
SMURSAMU_P;2021;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;;14;6.04;1;;;
SMURSAMU_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;M9999;2;3;4.33;1;;;
SMURSAMU_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2120;1;;1;1;;;
SMURSAMU_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N2223;3;2;4.77;0;;;
SMURSAMU_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N5140;3;;3;0;;;
SMURSAMU_P;2021;060002102;CH LA PALMOSA DE MENTON;060791761;N9999;7;2;8.77;1;;;
