BOR;AN;FI;RS;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2021;010000032;CH BUGEY SUD;010780062;APTAUT;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;ASSMAR;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;ASSMEM;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;EXPEQU;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;EXPURO;;1;
SSR2;2021;010000032;CH BUGEY SUD;010780062;IDRACH;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;ISOCIN;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;LABMAR;;1;
SSR2;2021;010000032;CH BUGEY SUD;010780062;PISCIN;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;SALINT;;1;
SSR2;2021;010000032;CH BUGEY SUD;010780062;SIMESP;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;STICON;1;;
SSR2;2021;010000032;CH BUGEY SUD;010780062;VEHADP;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;APTAUT;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;ASSMAR;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;ASSMEM;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;EXPEQU;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;EXPURO;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;IDRACH;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;ISOCIN;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;LABMAR;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;PISCIN;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SALINT;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SIMESP;;1;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;STICON;1;;
SSR2;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;VEHADP;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;APTAUT;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;ASSMAR;1;;
SSR2;2021;010000081;CH DU PAYS DE GEX;010780112;ASSMEM;1;;
