BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2021;010000032;CH BUGEY SUD;010780062;SSR_A;;40;14600;8;523;13079;4;997;
SSR;2021;010000032;CH BUGEY SUD;010780062;SSR_A50;1;40;;8;;13079;;997;
SSR;2021;010000032;CH BUGEY SUD;010780062;SSR_TOT;;40;14600;8;523;13079;4;997;0
SSR;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A;;69;25185;;671;22481;43;0;
SSR;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A50;1;34;;;;11383;;0;
SSR;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A59;1;35;;;;11098;;0;
SSR;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_TOT;;69;25185;;671;22481;43;0;0
SSR;2021;010000081;CH DU PAYS DE GEX;010780112;SSR_A;;20;7300;;152;5642;5;0;
SSR;2021;010000081;CH DU PAYS DE GEX;010780112;SSR_A50;1;20;;;;5642;;0;
SSR;2021;010000081;CH DU PAYS DE GEX;010780112;SSR_TOT;;20;7300;;152;5642;5;0;0
SSR;2021;010000099;CH DE MEXIMIEUX;010780120;SSR_A;;20;7300;;229;5462;2;0;
SSR;2021;010000099;CH DE MEXIMIEUX;010780120;SSR_A50;1;20;;;;5462;;0;
SSR;2021;010000099;CH DE MEXIMIEUX;010780120;SSR_TOT;;20;7300;;229;5462;2;0;0
SSR;2021;010000107;CH DE PONT DE VAUX;010780138;SSR_A;;20;7300;;258;6276;4;0;
SSR;2021;010000107;CH DE PONT DE VAUX;010780138;SSR_A50;1;20;;;;6276;;0;
SSR;2021;010000107;CH DE PONT DE VAUX;010780138;SSR_TOT;;20;7300;;258;6276;4;0;0
SSR;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A;;18;6570;;138;4635;6;0;
SSR;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A50;1;18;;;;4635;;0;
SSR;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_TOT;;18;6570;;138;4635;6;0;0
SSR;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A;;29;10585;;275;6979;1;0;
SSR;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_A50;1;29;;;;6979;;0;
SSR;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;010009132;SSR_TOT;;29;10585;;275;6979;1;0;0
SSR;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A;;36;13140;;461;9298;0;0;
SSR;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A50;1;;;;;0;;0;
SSR;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_A58;1;36;;;;9298;;0;
SSR;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;SSR_TOT;;36;13140;;461;9298;0;0;1
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A;;65;23725;;804;16939;5;0;
SSR;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;SSR_A50;1;;;;;0;;0;
