BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2021;010000032;CH BUGEY SUD;010780062;M1010;3;1;3.2
SSR_P;2021;010000032;CH BUGEY SUD;010780062;M1320;;1;0.2
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N241P;2;1;2
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N2430;;;0.01
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N2460;2;1;2.7
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N2500;7;4;12.24
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N2710;;1;1.3
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N310H;;;0.64
SSR_P;2021;010000032;CH BUGEY SUD;010780062;N3120;;;0.22
SSR_P;2021;010000032;CH BUGEY SUD;010780062;NAUT;10;3;10.48
SSR_P;2021;010000032;CH BUGEY SUD;010780062;NCINF;6;6;11.13
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1010;;2;1.6
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1040;;2;0.1
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1070;;1;0.05
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1320;1;4;4.3
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N241P;2;;2
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2430;;1;0.2
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2450;;2;0.6
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2460;;3;1.6
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2470;;1;0.6
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2500;14;40;30.97
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2710;;4;2.05
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N310H;;1;0.11
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N3120;;3;1.8
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;4;4;6.12
SSR_P;2021;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NCINF;7;32;21.26
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;M1010;;2;0.74
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;MAUT;1;;0.08
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N241P;3;;1.6
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2430;;;0.03
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2450;;1;0.27
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2460;;1;0.13
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2470;3;;0.14
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2500;14;18;8.35
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2710;2;;0.1
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;N3120;;1;0.4
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;NAUT;72;30;10.48
SSR_P;2021;010000081;CH DU PAYS DE GEX;010780112;NCINF;7;4;3.5
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;M1180;;1;0.11
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;MAUT;;3;0.4
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;N241P;1;1;0.87
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;N2500;24;10;8.66
SSR_P;2021;010000099;CH DE MEXIMIEUX;010780120;N2710;1;2;0.23
