BOR;AN;FI;RS;GRP;FI_ET;RS_ET;FI_EJ
STB;2021;010000024;CH DE FLEYRIAT;04;;;010780054
STB;2021;010000032;CH BUGEY SUD;04;;;010780062
STB;2021;010000065;CH DE TREVOUX - MONTPENSIER;04;;;010780096
STB;2021;010000081;CH DU PAYS DE GEX;04;010789022;USLD CH DU PAYS DE GEX;010780112
STB;2021;010000099;CH DE MEXIMIEUX;04;;;010780120
STB;2021;010000107;CH DE PONT DE VAUX;04;;;010780138
STB;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;04;010788008;USLD CH PONT DE VEYLE;010009132
STB;2021;010000131;CHI AIN VAL DE SAONE - THOISSEY;04;;;010009132
STB;2021;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;04;;;010007987
STB;2021;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;04;;;010007987
STB;2021;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;04;;;010007987
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010002236;CMP ENFANTS-ADO BOURG-EN-BRESSE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010002244;CATTP AGORA;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010002251;HDJ ADULTES CHATILLON;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010006286;CATTP ADULTES AMBERIEU;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010006385;CATTP ENFANTS-ADOS CHATEAU-GAILLARD;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010007854;CATTP ADULTES BELLEGARDE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010007862;CATTP ENFANTS LES 4 SAISONS;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010007870;CMP PERSONNES AGEES BOURG-EN-BRESSE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010007896;CMP ENFANTS-ADOS FERNEY-VOLTAIRE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010007904;HDJ ADULTES MONTLUEL;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010007920;HDJ ADULTES AMBERIEU;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010008050;CATTP ADULTES FERNEY-VOLTAIRE;010783009
STB;2021;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;010008092;CMP ENFANTS ADO FEILLENS;010783009
