BOR;AN;FI;RS;GRP;FI_ET;RS_ET
ST;2021;010007987;CH PUBLIC HAUTEVILLE;02;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE
ST;2021;010007987;CH PUBLIC HAUTEVILLE;02;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT
ST;2021;010007987;CH PUBLIC HAUTEVILLE;02;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE
ST;2021;010008407;CH DU HAUT BUGEY;02;010005239;CH DU HAUT BUGEY - GEOVREISSET
ST;2021;010008407;CH DU HAUT BUGEY;02;010789717;USLD CH D'OYONNAX
ST;2021;010009132;CHI AIN VAL DE SAONE;02;010000115;CHI AIN VAL DE SAONE - PONT VEYLE
ST;2021;010009132;CHI AIN VAL DE SAONE;02;010000131;CHI AIN VAL DE SAONE - THOISSEY
ST;2021;010780054;CH FLEYRIAT;02;010000024;CH DE FLEYRIAT
ST;2021;010780054;CH FLEYRIAT;02;010009314;SSR HOTEL DIEU DE FLEYRIAT
ST;2021;010780054;CH FLEYRIAT;02;010009702;USLD EMILE PELICAND
ST;2021;010780062;CH BUGEY SUD;02;010000032;CH BUGEY SUD
ST;2021;010780096;CH DE TREVOUX;02;010000065;CH DE TREVOUX - MONTPENSIER
ST;2021;010780096;CH DE TREVOUX;02;010789576;USLD
ST;2021;010780112;CH DU PAYS DE GEX;02;010000081;CH DU PAYS DE GEX
ST;2021;010780120;CH DE MEXIMIEUX;02;010000099;CH DE MEXIMIEUX
ST;2021;010780138;CH DE PONT DE VAUX;02;010000107;CH DE PONT DE VAUX
ST;2021;020000022;CENTRE HOSPITALIER DE GUISE;02;020000089;CH GUISE
ST;2021;020000048;CENTRE HOSPITALIER GERONTOLOGIQUE;02;020000097;CH LA FÈRE
ST;2021;020000055;CH NOUVION EN THIERACHE;02;020000105;CH LE NOUVION-EN-THIÉRACHE
ST;2021;020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;02;020000162;CH SAINT-QUENTIN
ST;2021;020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;02;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN
ST;2021;020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;02;020016366;SMUR CH SAINT-QUENTIN GUISE
ST;2021;020000071;CENTRE HOSPITALIER DE VERVINS;02;020000246;CH VERVINS
ST;2021;020000253;CH DE LAON;02;020000394;CH LAON
ST;2021;020000253;CH DE LAON;02;020003877;SSR CH LAON
ST;2021;020000253;CH DE LAON;02;020005476;USLD CH LAON
ST;2021;020000261;CENTRE HOSPITALIER DE SOISSONS;02;020000519;CH SOISSONS
ST;2021;020000261;CENTRE HOSPITALIER DE SOISSONS;02;020004677;USLD CH SOISSONS
ST;2021;020000287;CENTRE HOSPITALIER DE CHAUNY;02;020000535;CH CHAUNY
ST;2021;020000295;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;02;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE
ST;2021;020002085;MAISON DE SANTÉ DE BOHAIN;02;020009684;USLD MSB BOHAIN-EN-VERMANDOIS
ST;2021;020003620;CRF JACQUES FICHEUX;02;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN
ST;2021;020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;02;020001061;CH CHÂTEAU-THIERRY
ST;2021;020004495;CENTRE HOSPITALIER D'HIRSON;02;020001087;CH HIRSON
ST;2021;030002158;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;02;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET
ST;2021;030002158;CH DEPARTEMENTAL COEUR DU BOURBONNAIS;02;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN
ST;2021;030005821;SCP - CENTRE DE RADIOTHERAPIE -;08;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT
ST;2021;030780092;CH DE MOULINS YZEURE;02;030000061;CH DE MOULINS
ST;2021;030780100;CH DE MONTLUCON NERIS-LES-BAINS;02;030000012;CH DE NERIS LES BAINS
ST;2021;030780100;CH DE MONTLUCON NERIS-LES-BAINS;02;030000079;CH DE MONTLUCON
ST;2021;030780100;CH DE MONTLUCON NERIS-LES-BAINS;02;030781637;SERVICE DE PSYCHIATRIE CHATELARD
ST;2021;030780118;CH DE VICHY;02;030000087;CH JACQUES LACARIN VICHY
ST;2021;030780126;CH DE BOURBON L'ARCHAMBAULT;02;030000095;CH DE BOURBON L'ARCHAMBAULT
ST;2021;030780282;CHS D'AINAY LE CHATEAU;02;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY
ST;2021;040780132;EPS PIERRE GROUES DE BARCELONNETTE;02;040000036;EPS PIERRE GROUES DE BARCELONNETTE
ST;2021;040780140;EPS DUCELIA CASTELLANE;02;040000044;EPS DUCELIA DE CASTELLANE
ST;2021;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;02;040000069;CHI MANOSQUE SITE FORCALQUIER
ST;2021;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;02;040000093;CHI DE MANOSQUE LOUIS RAFFALLI
ST;2021;040780215;CHI DE MANOSQUE LOUIS RAFFALLI;02;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE
ST;2021;040780231;EPS LUMIERE DE RIEZ;02;040000119;EPS LUMIERE DE RIEZ
ST;2021;040780249;EPS VALLEE DE LA BLANCHE;02;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES
ST;2021;040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;02;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS
ST;2021;050000108;CENTRE HOSPITALIER AIGUILLES QUEYRAS;02;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS
ST;2021;050000116;CH LES ESCARTONS A BRIANCON;02;050000231;CH DES ESCARTONS DE BRIANCON
ST;2021;050000124;CENTRE HOSPITALIER D'EMBRUN;02;050000256;CENTRE HOSPITALIER D'EMBRUN
