BOR;AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
SYGEN;2021;010000024;010780054;270;68;47;385;12389;4781;3783;20953;86376;16337;12094;114807;22;20;;42;3017;3394;0;6411;36847;186439;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;538;1;41722;0;;1;0;0;1;1;1836;0;2071;1;411;0;0;1;11025;1;;1;8449;1;17373;1;1;0;0;0;0;1;140;29;21;22;34;9;;2;19;1;196;70;15;14;;;;;;2;;;17;111.75;20.44;17.17;20.98;29.76;9.43;;1.6;15.62;1.02;159.75;64.85;46;31;89;447;357;105;19;40;1134;6;1;258;11;7;33;34;36;5;245;629;1763;39.41;30.61;83.05;420.98;341.32;93.63;10.39;25.13;1044.52;5.77;1.07;237.64;9.07;6.36;28.35;33.58;36.5;4.3;233.83;590.11;1634.63;1;1;1;1;0;0;1;;;;;2;1;2;;;;;;12;19
SYGEN;2021;010000032;010780062;66;17;8;91;3878;923;548;5349;18194;4040;1497;23731;4;5;0;9;148;1398;0;1546;780;48204;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;523;997;8;;;;;1;15429;0;;1;0;0;0;1;1098;1;350;0;0;0;0;;;;;1;780;0;;0;0;0;0;0;0;1;28;12;9;;10;3;;;3;;41;7;;;;;;;;;;;;21.92;9.25;7.78;;9.5;2.77;;;2.59;;34.01;6.33;12;12;8;104;123;98;5;12;374;2;;63;4;2;8;10;10;;44;141;515;10.89;15.6;7.45;99.83;114.81;85.24;3.23;10.63;347.68;2;;58.07;4.76;2.1;7.98;9.16;9.02;;44.42;135.41;483.09;;;;;;;;;;;;1;1;;;;;;;4;6
SYGEN;2021;010000065;010780096;59;;;59;1640;0;0;1640;16718;0;0;16718;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;671;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;6;;;;;;;2;1;19;4;;;;;;;;;;;;14.37;7.08;;;;;;;2.45;0.48;17.3;0.95;;9;;67;94;6;4;9;189;1;;29;9;4;7;;2;;22;70;259;;8.03;;58.41;76.05;9.19;3.06;7.08;161.82;0.62;;20.05;6.29;3.69;2.65;;0.85;;12.23;42.69;204.51;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000081;010780112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;152;0;;30;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;1;;5;;;;;;;;;;;;;2;2;;;;;;;0.17;;2.17;;;4;;11;40;51;2;8;116;1;;18;4;1;3;;;;46;72;188;;0.98;;7.43;16.68;22.22;0.25;2.54;50.1;0.17;;3.23;1.66;0.44;0.45;;;;7.64;13.15;63.25;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000099;010780120;9;;;9;198;0;0;198;3541;0;0;3541;;;;;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;229;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;3;;;;;;;;;;;;;0.09;;;;;;;;;0.82;0.91;;;1;;9;25;8;1;3;47;1;;12;1;1;2;;;;15;31;78;;1;;6.1;13.51;6.23;0.3;2.54;29.68;0.28;;4.44;0.28;0.28;0.83;;;;6.35;12.18;41.86;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000107;010780138;15;;;15;209;0;0;209;2531;0;0;2531;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;258;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;3;;;;;;;;;;;;;1.6;;;;;;;;0.48;;2.08;;;1;;10;15;4;1;2;33;1;;10;2;1;2;;;;22;37;70;;0.67;;9.36;12.86;4.98;0.3;1.2;29.37;0.17;;2.83;0.82;0.5;0.3;;;;3.7;7.82;37.19;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000115;010009132;12;;;12;92;0;0;92;2234;0;0;2234;0;;;0;0;0;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;138;0;;30;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;1;;4;;;;;;;;;;;;;2.08;1.08;;;;;;;0.4;;2.48;;;2;;16;28;22;4;7;79;1;1;6;2;1;2;;;;16;28;107;;1.02;;11.6;21.48;17.93;0.9;3.74;56.67;0.47;0.26;2.43;0.71;0.61;1.27;;;;10.84;15.98;72.65;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000131;010009132;8;0;0;8;129;0;0;129;2103;0;0;2103;0;0;0;0;0;0;0;0;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;275;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;3;;;;;;;;;;;;;1.4;;;;;;;;0.48;;1.88;;;1;;14;14;12;1;5;47;1;1;9;2;1;1;;;;12;26;73;;1;;14.19;12.61;10.27;0.4;1.98;40.45;0.53;0.3;4.71;0.7;0.45;0.5;;;;6.77;13.51;53.96;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000180;010007987;8;0;0;8;259;0;0;259;2167;0;0;2167;;;;;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;461;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;3;;;;;;;;;;;;;2.72;2.72;;;;;;;;;2.72;;;1;;5;7;7;3;;23;;;2;2;1;;;;;;4;27;;1;;5;5.11;6.27;2.58;;19.96;0.1;;1.83;2.46;0.8;;;;;;4.39;24.35;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000198;010007987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;858;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;4;;;;;;;;;;;;;4.26;2.91;;;;;;;;;4.26;;;1;;8;9;15;;10;43;;;5;;;;;;;2;7;50;;1;;7.24;8.06;14.73;;8.94;39.97;0.1;;4.76;;;;;;;1.6;6.46;46.43;;;;;;;;;;;;;;;;;;;;;
