BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2021;010000024;CH DE FLEYRIAT;010780054;GEN;346;742;1;IAO;41722;4907;11297;7610;2066;1196;0;0;0;0;0;0;126;17;3;7736;10;3650;2402;391;2174;1;1
URGENCES2;2021;010000032;CH BUGEY SUD;010780062;GEN;168;168;0;;15429;1618;4037;3956;1189;558;0;0;0;0;0;0;199;18;16;4155;4;1460;375;237;138;0;1
URGENCES2;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;GEN;252;504;1;IAOMAO;20424;1851;4576;4186;1459;1788;0;0;0;0;0;0;395;47;45;4581;5;1825;1221;281;1137;1;0
URGENCES2;2021;010780195;CLINIQUE CONVERT;010000156;GEN;190;336;1;IAO;19995;2589;3789;3999;;;;;;;;;;;;3999;4;1460;1705;1283;432;1;0
URGENCES2;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;GEN;336;737;1;IAO;32561;2878;7587;1076;417;43;;;;;;;;;;1076;8;2920;4844;2624;2486;1;1
URGENCES2;2021;020000162;CH SAINT-QUENTIN;020000063;GEN;604;1032;1;IAO;33613;5067;34;6231;1886;3;471;3;1;;;;;;;6702;10;3650;5727;2040;4732;1;0
URGENCES2;2021;020000162;CH SAINT-QUENTIN;020000063;PED;105;420;0;;15083;;;;;;;;;;;;;;;;;;0;0;0;;
URGENCES2;2021;020000394;CH LAON;020000253;GEN;240;628;;IAOMAO;23102;2956;3344;4482;1440;62;8;7;0;;;;840;237;13;5330;4;1460;3746;2302;1540;1;1
URGENCES2;2021;020000394;CH LAON;020000253;PED;168;;1;IAO;6613;;;;;;;;;;;;;;;725;;;0;0;0;;
URGENCES2;2021;020000519;CH SOISSONS;020000261;GEN;510;840;1;IAO;33000;4300;5097;6372;572;30;6;4;0;0;0;0;403;28;14;6781;4;1348;1394;873;650;1;0
URGENCES2;2021;020000519;CH SOISSONS;020000261;PED;510;854;1;IAO;8610;;;;;;;;;;;;;;;1197;;;0;0;0;;
URGENCES2;2021;020000535;CH CHAUNY;020000287;GEN;168;420;1;IAO;15844;;;;;;;;;;;;;;;;6;2190;1515;561;1045;1;1
URGENCES2;2021;020001061;CH CHÂTEAU-THIERRY;020004404;GEN;266;416;1;IAO;30986;2661;9671;5343;1483;760;;;;;;;1060;319;42;6403;8;2192;4033;2217;1925;1;0
URGENCES2;2021;020001087;CH HIRSON;020004495;GEN;336;406;1;IAO;12524;1472;2231;191;;;;;;;;;;;;191;4;1460;1830;1137;718;1;1
URGENCES2;2021;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;GEN;168;322;1;IAO;10805;594;1807;1773;;;;;;;;;;;;1773;3;1095;654;557;98;1;1
URGENCES2;2021;030000061;CH DE MOULINS;030780092;GEN;420;588;1;IAO;34180;4103;8676;9360;2665;1071;13;4;0;4;0;0;0;0;0;9377;8;2920;2782;1222;2916;1;1
URGENCES2;2021;030000079;CH DE MONTLUCON;030780100;GEN;252;420;1;IAO;39037;4971;12471;11216;3451;1245;177;11;1;;;;89;11;16;11482;6;2190;4175;1875;2423;1;1
URGENCES2;2021;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;336;676;1;IAO;30994;5232;5255;9452;2954;702;26;10;0;0;0;0;0;0;0;9478;10;4897;4226;1185;3534;0;0
URGENCES2;2021;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;GEN;168;336;0;;1852;403;127;586;206;3;0;0;0;0;;;;;;586;0;0;;;;0;0
URGENCES2;2021;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;GEN;490;1344;1;IAO;32696;3664;7593;6310;1897;658;;;;;;;1118;262;38;7428;8;2920;3402;1009;2468;1;0
