BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;M1140;;1;0.04;;0
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;M9999;;24;10.75;1;1
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;N1220;4;;4;;
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;N2120;1;;1;;
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;N2500;15;5;18.88;;
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;N9999;45;20;55.84;;
URGENCES_P;2021;010000024;CH DE FLEYRIAT;010780054;NINF;22;15;28.46;;
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;M9999;7;2;3.88;;1
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;N1220;2;;2.31;;1
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;N2120;2;0;0.71;;1
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;N2500;8;;2.44;;
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;N3120;;;0.03;;
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;N9999;32;1;13.14;;
URGENCES_P;2021;010000032;CH BUGEY SUD;010780062;NINF;20;1;7.65;;1
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;M9999;9;5;10.6;2;1
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N1220;0;1;1.49;2;1
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2120;1;0;1;2;1
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2500;15;0;13.47;;
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N2620;0;0;0;2;1
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;N9999;32;7;34.89;;
URGENCES_P;2021;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NINF;16;6;18.93;2;1
URGENCES_P;2021;010780195;CLINIQUE CONVERT;010000156;M9999;7;;7;;
URGENCES_P;2021;010780195;CLINIQUE CONVERT;010000156;N1220;3;0;2.98;;
URGENCES_P;2021;010780195;CLINIQUE CONVERT;010000156;N2120;1;0;1;;
URGENCES_P;2021;010780195;CLINIQUE CONVERT;010000156;N2500;1;2;2.78;;
URGENCES_P;2021;010780195;CLINIQUE CONVERT;010000156;N9999;12;9;16.99;;
URGENCES_P;2021;010780195;CLINIQUE CONVERT;010000156;NINF;7;7;10.23;;
URGENCES_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M9999;9;;9;3;1
URGENCES_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N1220;3;2;3.86;;1
URGENCES_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2120;1;;0.54;;1
URGENCES_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2500;5;3;6.54;;
URGENCES_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N9999;24;12;32;;
URGENCES_P;2021;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NINF;15;7;21.06;;1
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1140;;6;1;;0
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;M3020;;2;1;;
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;M9999;7;38;10.4;2;1
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N1220;;3;2.83;3;1
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2120;;2;0.53;3;1
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2500;33;13;38.05;;
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N3120;1;;0.9;;
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;N9999;74;31;90.5;;
URGENCES_P;2021;020000162;CH SAINT-QUENTIN;020000063;NINF;35;11;42.02;3;1
URGENCES_P;2021;020000394;CH LAON;020000253;M1140;0;6;0.45;;0
URGENCES_P;2021;020000394;CH LAON;020000253;M9999;0;17;4.5;1;1
URGENCES_P;2021;020000394;CH LAON;020000253;N1220;2;2;2.5;;
URGENCES_P;2021;020000394;CH LAON;020000253;N2120;0;1;0.17;;
URGENCES_P;2021;020000394;CH LAON;020000253;N2500;13;0;12.1;;
