BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPA;ETP;COMEHPAD
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;M1320;;;;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;MEDCH;1;2;0.73;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2210;5;1;3.51;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2410;2;;0.09;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2460;;1;0.01;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;N2510;10;10;5.42;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;N3120;;1;0.04;1
USLD_P;2021;010000081;CH DU PAYS DE GEX;010780112;NAUT;88;39;21.92;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;;;;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;MEDCH;;2;0.95;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2210;6;4;6.62;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2410;2;;1.95;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2460;;1;0.14;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2510;11;6;13.15;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N3120;;1;0.11;1
USLD_P;2021;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NAUT;10;13;14.06;1
USLD_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;M1320;;3;1.07;0
USLD_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;MEDCH;;4;1.42;0
USLD_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2210;13;4;13.58;
USLD_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;N2510;22;4;23.81;
USLD_P;2021;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;NAUT;10;2;11.13;
USLD_P;2021;010009702;USLD EMILE PELICAND;010780054;M1320;;1;0.35;
USLD_P;2021;010009702;USLD EMILE PELICAND;010780054;MEDCH;;1;0.35;
USLD_P;2021;010009702;USLD EMILE PELICAND;010780054;N2210;2;4;3.89;
USLD_P;2021;010009702;USLD EMILE PELICAND;010780054;N2460;;1;0.3;
USLD_P;2021;010009702;USLD EMILE PELICAND;010780054;N2510;5;6;9.34;
USLD_P;2021;010009702;USLD EMILE PELICAND;010780054;NAUT;1;5;3.88;
USLD_P;2021;010789576;USLD;010780096;M1320;;1;0.5;
USLD_P;2021;010789576;USLD;010780096;MEDCH;;1;0.5;
USLD_P;2021;010789576;USLD;010780096;N2210;5;3;5.87;
USLD_P;2021;010789576;USLD;010780096;N2410;;1;0.2;0
USLD_P;2021;010789576;USLD;010780096;N2510;6;4;8.14;
USLD_P;2021;010789576;USLD;010780096;N3120;;1;0.1;
USLD_P;2021;010789576;USLD;010780096;NAUT;4;11;7.13;
USLD_P;2021;020000089;CH GUISE;020000022;MEDCH;0;1;0.6;0
USLD_P;2021;020000089;CH GUISE;020000022;N2210;5;1;5.5;0
USLD_P;2021;020000089;CH GUISE;020000022;N2410;0;1;0.08;1
USLD_P;2021;020000089;CH GUISE;020000022;N2460;0;0;0;1
USLD_P;2021;020000089;CH GUISE;020000022;N2510;13;1;13.8;0
USLD_P;2021;020000089;CH GUISE;020000022;N3120;0;2;0.08;0
USLD_P;2021;020000089;CH GUISE;020000022;NAUT;3;3;3.76;1
USLD_P;2021;020000162;CH SAINT-QUENTIN;020000063;M1320;;1;0.7;1
USLD_P;2021;020000162;CH SAINT-QUENTIN;020000063;MEDCH;;1;0.7;1
USLD_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2210;6;5;9.44;1
USLD_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2460;;1;0.25;1
USLD_P;2021;020000162;CH SAINT-QUENTIN;020000063;N2510;31;4;30.91;1
USLD_P;2021;020000162;CH SAINT-QUENTIN;020000063;NAUT;12;8;15.59;1
USLD_P;2021;020000535;CH CHAUNY;020000287;M1320;;1;0.38;1
USLD_P;2021;020000535;CH CHAUNY;020000287;MEDCH;;1;0.81;1
USLD_P;2021;020000535;CH CHAUNY;020000287;N2210;8;3;8.11;
USLD_P;2021;020000535;CH CHAUNY;020000287;N2460;;1;0.2;1
USLD_P;2021;020000535;CH CHAUNY;020000287;N2510;14;15;17.42;
USLD_P;2021;020000535;CH CHAUNY;020000287;NAUT;3;5;5.77;0
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;M1320;;1;0.8;1
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;MEDCH;;1;0.8;1
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;N2210;4;6;8.17;0
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;N2410;;1;0.1;1
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;N2510;16;8;20.65;0
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;N3120;;;;1
USLD_P;2021;020004677;USLD CH SOISSONS;020000261;NAUT;5;7;8.13;1
USLD_P;2021;020005476;USLD CH LAON;020000253;MEDCH;;1;0.33;1
USLD_P;2021;020005476;USLD CH LAON;020000253;N2210;9;2;10.99;
USLD_P;2021;020005476;USLD CH LAON;020000253;N2410;;1;0.32;
USLD_P;2021;020005476;USLD CH LAON;020000253;N2510;12;4;13.13;
USLD_P;2021;020005476;USLD CH LAON;020000253;N3120;;1;0.2;
USLD_P;2021;020005476;USLD CH LAON;020000253;NAUT;5;11;8.7;
USLD_P;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;M1320;;1;0.06;1
USLD_P;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;MEDCH;;2;0.08;1
USLD_P;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;N2210;5;;4.2;1
USLD_P;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;N2460;1;;0.33;1
USLD_P;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;N2510;12;;11.94;1
USLD_P;2021;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;NAUT;21;;12.43;1
USLD_P;2021;030000061;CH DE MOULINS;030780092;M1320;1;0;1;1
USLD_P;2021;030000061;CH DE MOULINS;030780092;MEDCH;2;0;1.71;1
USLD_P;2021;030000061;CH DE MOULINS;030780092;N2210;9;2;10.7;1
USLD_P;2021;030000061;CH DE MOULINS;030780092;N2460;0;1;0.21;1
USLD_P;2021;030000061;CH DE MOULINS;030780092;N2510;33;4;31.63;1
USLD_P;2021;030000061;CH DE MOULINS;030780092;NAUT;28;12;32.91;1
USLD_P;2021;030000079;CH DE MONTLUCON;030780100;M1320;;;0.34;1
USLD_P;2021;030000079;CH DE MONTLUCON;030780100;MEDCH;1;;1;1
USLD_P;2021;030000079;CH DE MONTLUCON;030780100;N2210;7;1;7.16;1
USLD_P;2021;030000079;CH DE MONTLUCON;030780100;N2510;32;4;28.8;1
USLD_P;2021;030000079;CH DE MONTLUCON;030780100;NAUT;10;;8.96;
USLD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;M1320;1;1;1.4;
USLD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;MEDCH;1;1;1.4;0
USLD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2210;20;5;23.38;0
USLD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;28;10;33.63;0
USLD_P;2021;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;27;6;29.83;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;M1320;;0;0.57;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;MEDCH;;2;0.77;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;N2210;6;1;6.92;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;N2410;;1;0.1;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;N2510;13;1;14.25;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;N3120;;1;0.25;0
USLD_P;2021;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;NAUT;15;8;19.49;0
USLD_P;2021;040780405;CENTRE DES CARMES;040000168;MEDCH;1;1;1.44;
USLD_P;2021;040780405;CENTRE DES CARMES;040000168;N2210;6;1;6.5;
USLD_P;2021;040780405;CENTRE DES CARMES;040000168;N2410;;2;0.4;
USLD_P;2021;040780405;CENTRE DES CARMES;040000168;N2460;;1;0.5;
USLD_P;2021;040780405;CENTRE DES CARMES;040000168;N2510;12;1;12.5;
USLD_P;2021;040780405;CENTRE DES CARMES;040000168;NAUT;10;3;6.8;
USLD_P;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;M1320;;;0.1;1
USLD_P;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;MEDCH;;;0.1;1
USLD_P;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;N2210;4;2;5.08;1
USLD_P;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;N2410;;;0.07;
USLD_P;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;N2510;12;2;13.27;1
USLD_P;2021;040788440;CHI MANOSQUE USLD SITE SAINT ANDRE;040780215;NAUT;5;7;5.53;1
