fi;an;fi_ej;rs;grp;stjr;cat;dep;reg;espic;COMINSEE;DISCI;DISCIPLINE;LIT;SEJHC;JOU;PLA;SEJHP;PAS;SEJACC;IVG;SEHEM;SERAD;SECHI
010000024;2021;010780054;CH DE FLEYRIAT;04;1;355;01;84;1;01451;21100;Médecine;270;12389;86376;22;3017;41722;;;11025;17279;8449
010000024;2021;010780054;CH DE FLEYRIAT;04;1;355;01;84;1;01451;21200;Chirurgie;68;4781;16337;20;3394;;;;;;
010000024;2021;010780054;CH DE FLEYRIAT;04;1;355;01;84;1;01451;21300;Gynéco-Obstétrique;47;3783;12094;;0;;2071;516;;;
010000024;2021;010780054;CH DE FLEYRIAT;04;1;355;01;84;1;01451;23000;Hospitalisation à domicile;;;12445;45;538;;;;;;
010000032;2021;010780062;CH BUGEY SUD;04;1;355;01;84;1;01034;21100;Médecine;66;3878;18194;4;148;15429;;;;;780
010000032;2021;010780062;CH BUGEY SUD;04;1;355;01;84;1;01034;21200;Chirurgie;17;923;4040;5;1398;;;;;;
010000032;2021;010780062;CH BUGEY SUD;04;1;355;01;84;1;01034;21300;Gynéco-Obstétrique;8;548;1497;0;0;;350;96;;;
010000032;2021;010780062;CH BUGEY SUD;04;1;355;01;84;1;01034;24000;Soins de suite et réadaptation;40;523;13079;8;997;;;;;;
010000065;2021;010780096;CH DE TREVOUX - MONTPENSIER;04;1;355;01;84;1;01427;21100;Médecine;59;1640;16718;;0;;;;;;
010000065;2021;010780096;CH DE TREVOUX - MONTPENSIER;04;1;355;01;84;1;01427;24000;Soins de suite et réadaptation;69;671;22481;;0;;;;;;
010000081;2021;010780112;CH DU PAYS DE GEX;04;1;106;01;84;1;01173;24000;Soins de suite et réadaptation;20;152;5642;;0;;;;;;
010000081;2021;010780112;CH DU PAYS DE GEX;04;1;106;01;84;1;01173;25000;Soins de longue durée;30;18;8964;;;;;;;;
010000099;2021;010780120;CH DE MEXIMIEUX;04;1;106;01;84;1;01244;21100;Médecine;9;198;3541;;0;;;;;;
010000099;2021;010780120;CH DE MEXIMIEUX;04;1;106;01;84;1;01244;24000;Soins de suite et réadaptation;20;229;5462;;0;;;;;;
010000107;2021;010780138;CH DE PONT DE VAUX;04;1;106;01;84;1;01305;21100;Médecine;15;209;2531;0;0;;;;;;
010000107;2021;010780138;CH DE PONT DE VAUX;04;1;106;01;84;1;01305;24000;Soins de suite et réadaptation;20;258;6276;;0;;;;;;
010000115;2021;010009132;CHI AIN VAL DE SAONE - PONT VEYLE;04;1;355;01;84;1;01306;21100;Médecine;12;92;2234;0;0;;;;;;
010000115;2021;010009132;CHI AIN VAL DE SAONE - PONT VEYLE;04;1;355;01;84;1;01306;24000;Soins de suite et réadaptation;18;138;4635;;0;;;;;;
010000115;2021;010009132;CHI AIN VAL DE SAONE - PONT VEYLE;04;1;355;01;84;1;01306;25000;Soins de longue durée;30;29;9801;;;;;;;;
010000131;2021;010009132;CHI AIN VAL DE SAONE - THOISSEY;04;1;355;01;84;1;01420;21100;Médecine;8;129;2103;0;0;;;;;;
010000131;2021;010009132;CHI AIN VAL DE SAONE - THOISSEY;04;1;355;01;84;1;01420;24000;Soins de suite et réadaptation;29;275;6979;;0;;;;;;
010000180;2021;010007987;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;04;1;355;01;84;1;01185;21100;Médecine;8;259;2167;;0;;;;;;
010000180;2021;010007987;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;04;1;355;01;84;1;01185;24000;Soins de suite et réadaptation;36;461;9298;;0;;;;;;
010000198;2021;010007987;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;04;1;355;01;84;1;01185;24000;Soins de suite et réadaptation;69;858;17834;;0;;;;;;
010000214;2021;010007987;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;04;1;355;01;84;1;01185;21100;Médecine;16;302;3929;;0;;;;;;
010000214;2021;010007987;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;04;1;355;01;84;1;01185;24000;Soins de suite et réadaptation;101;936;31113;;0;;;;;;
010000495;2021;010783009;CENTRE PSYCHOTHERAPIQUE DE L'AIN;15;3;292;01;84;6;01053;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);312;2911;94754;91;9050;;;;;;
010002129;2021;750056335;CLINIQUE DE READAPTATION LES ARBELLES;09;2;109;01;84;0;01053;24000;Soins de suite et réadaptation;100;728;30565;15;272;;;;;;
010005239;2021;010008407;CH DU HAUT BUGEY - GEOVREISSET;04;1;355;01;84;1;01283;21100;Médecine;70;3952;21363;7;1022;20424;;;;;128
010005239;2021;010008407;CH DU HAUT BUGEY - GEOVREISSET;04;1;355;01;84;1;01283;21200;Chirurgie;26;1029;4302;7;1383;;;;;;
010005239;2021;010008407;CH DU HAUT BUGEY - GEOVREISSET;04;1;355;01;84;1;01283;21300;Gynéco-Obstétrique;18;989;2918;1;102;;671;102;;;
010005239;2021;010008407;CH DU HAUT BUGEY - GEOVREISSET;04;1;355;01;84;1;01283;24000;Soins de suite et réadaptation;30;219;6336;;0;;;;;;
010005379;2021;010010718;HAD DE L'HOPITAL PRIVE D'AMBERIEU;09;2;127;01;84;0;01004;23000;Hospitalisation à domicile;;;14318;60;396;;;;;;
010006526;2021;690796552;AURAL UNITE DIALYSE CH HAUT BUGEY;07;3;146;01;84;6;01283;21100;Médecine;;;;;;;;;2772;;
010007300;2021;010007292;CLINIQUE AMBULATOIRE CENDANEG;09;2;128;01;84;0;01313;21200;Chirurgie;;0;0;2;2273;;;;;;
010008852;2021;010783009;CRF L'ORCET SITE DU CH DE FLEYRIAT;09;3;109;01;84;6;01053;24000;Soins de suite et réadaptation;;0;0;10;1767;;;;;;
010009314;2021;010780054;SSR HOTEL DIEU DE FLEYRIAT;04;1;355;01;84;1;01053;24000;Soins de suite et réadaptation;70;526;17351;13;2549;;;;;;
010009314;2021;010780054;SSR HOTEL DIEU DE FLEYRIAT;04;1;355;01;84;1;01053;25000;Soins de longue durée;94;53;29061;;;;;;;;
010009702;2021;010780054;USLD EMILE PELICAND;04;1;362;01;84;1;01053;25000;Soins de longue durée;11;8;3786;;;;;;;;
010010171;2021;010011559;CLINIQUE DE CHATILLON;15;2;161;01;84;0;01033;22000;Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998);95;929;26760;24;1694;;;;;;
010011641;2021;010000222;CLINIQUE DU SOUFFLE LE PONTET;09;2;109;01;84;0;01185;24000;Soins de suite et réadaptation;91;705;27107;5;424;;;;;;
010780195;2021;010000156;CLINIQUE CONVERT;09;2;365;01;84;0;01053;21100;Médecine;28;4024;12580;1;2;19995;;;;;3223
010780195;2021;010000156;CLINIQUE CONVERT;09;2;365;01;84;0;01053;21200;Chirurgie;69;4895;11239;33;9500;;;;;;
010780203;2021;010010718;HOPITAL PRIVE D'AMBERIEU;09;2;365;01;84;0;01004;21100;Médecine;26;5312;13314;2;462;32561;;;;;9
010780203;2021;010010718;HOPITAL PRIVE D'AMBERIEU;09;2;365;01;84;0;01004;21200;Chirurgie;46;2191;5442;29;6202;;;;;;
010780203;2021;010010718;HOPITAL PRIVE D'AMBERIEU;09;2;365;01;84;0;01004;21300;Gynéco-Obstétrique;15;697;2732;;0;;674;2;;;
010780252;2021;010783009;CRF L'ORCET;09;3;109;01;84;6;01185;24000;Soins de suite et réadaptation;71;414;17620;;0;;;;;;
010780278;2021;010783009;CENTRE DE REEDUCATION MANGINI;09;3;109;01;84;6;01185;24000;Soins de suite et réadaptation;100;398;29618;;0;;;;;;
010780294;2021;690000278;NEPHROCARE CH BELLEY;07;2;141;01;84;0;01034;21100;Médecine;;;;;;;;;9285;;
010780476;2021;750005068;CENTRE SSR READAPT ADOLESCENTS CHANAY;09;3;109;01;84;6;01082;24000;Soins de suite et réadaptation;115;701;16088;3;927;;;;;;
010780492;2021;360000707;CRF ROMANS-FERRARI;09;3;109;01;84;6;01249;24000;Soins de suite et réadaptation;70;1974;10588;42;10210;;;;;;
010780708;2021;310021381;CLINIQUE SSR CHATEAU DE GLETEINS;09;2;109;01;84;0;01194;24000;Soins de suite et réadaptation;65;701;19482;10;1972;;;;;;
010780799;2021;750721334;CTRE DE MPR CHATEAU D'ANGEVILLE;09;3;109;01;84;6;01185;24000;Soins de suite et réadaptation;30;207;7166;;0;;;;;;
010789006;2021;210012290;UNITE DE DIALYSE BOURG EN BRESSE;07;3;146;01;84;6;01451;21100;Médecine;;;;;;;;;12640;;
010789576;2021;010780096;USLD;04;1;362;01;84;1;01322;25000;Soins de longue durée;30;25;10176;;;;;;;;
010789717;2021;010008407;USLD CH D'OYONNAX;04;1;362;01;84;1;01283;25000;Soins de longue durée;35;30;12443;;;;;;;;
020000089;2021;020000022;CH GUISE;04;1;355;02;32;1;02361;21100;Médecine;28;766;6656;0;0;;;;;;
020000089;2021;020000022;CH GUISE;04;1;355;02;32;1;02361;23000;Hospitalisation à domicile;;;10962;30;248;;;;;;
020000089;2021;020000022;CH GUISE;04;1;355;02;32;1;02361;24000;Soins de suite et réadaptation;42;413;11511;0;0;;;;;;
020000089;2021;020000022;CH GUISE;04;1;355;02;32;1;02361;25000;Soins de longue durée;30;6;9947;;;;;;;;
020000097;2021;020000048;CH LA FÈRE;04;1;355;02;32;1;02304;21100;Médecine;38;685;10255;;0;;;;;;
020000097;2021;020000048;CH LA FÈRE;04;1;355;02;32;1;02304;24000;Soins de suite et réadaptation;31;272;7078;;0;;;;;;
020000105;2021;020000055;CH LE NOUVION-EN-THIÉRACHE;04;1;355;02;32;1;02558;21100;Médecine;15;277;3401;;0;;;;;;
020000105;2021;020000055;CH LE NOUVION-EN-THIÉRACHE;04;1;355;02;32;1;02558;24000;Soins de suite et réadaptation;15;199;3046;;0;;;;;;
020000162;2021;020000063;CH SAINT-QUENTIN;04;1;355;02;32;1;02691;21100;Médecine;278;18161;94108;21;4611;48696;;;17167;15722;9197
020000162;2021;020000063;CH SAINT-QUENTIN;04;1;355;02;32;1;02691;21200;Chirurgie;86;3973;15464;26;5618;;;;;;
020000162;2021;020000063;CH SAINT-QUENTIN;04;1;355;02;32;1;02691;21300;Gynéco-Obstétrique;28;2262;7691;0;771;;1619;410;;;
020000162;2021;020000063;CH SAINT-QUENTIN;04;1;355;02;32;1;02691;24000;Soins de suite et réadaptation;56;493;12497;;0;;;;;;
