,date de notification,date de fin,prestataire,objet,montant
0,43860,2024-01-29 00:00:00,NUMA,Accompagnement de la DINUM dans l’appui à la création et à l’animation d’un incubateur de services publics numériques en mode agile ,1148248.8
1, 12/05/2017,2019-12-30 00:00:00,INFORMATIQUE CONVIVIALE CONSEIL, Appui à la création et à l’animation d’un incubateur,680400.0
2, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,521280.0
3,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,499320.0
4,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,477768.0
5,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,468480.0
6,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,468480.0
7,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,454200.0
8, 12/05/2017,2019-12-30 00:00:00,INFORMATIQUE CONVIVIALE CONSEIL, Appui à la création et à l’animation d’un incubateur,453600.0
9,42045,  09/02/2018,DELOITTE CONSEIL,AC_TRANSFO_LOT1_MS4_Gestion de la performance des SIC (en lien avec le 14_BAM_012),449894.4
10,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,440640.0
11,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,399960.0
12,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,392880.0
13,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,390960.0
